shot,sim_time_s,peak_abs
1,2,9.70697
2,4,6.92441
3,6,6.93588
4,8,6.93234
5,10,6.9319
6,12,6.93153
7,14,6.93117
8,16,6.93079
9,18,6.93041
10,20,6.93004
11,22,6.92965
12,24,6.92927
13,26,6.92889
14,28,6.92851
15,30,6.92812
16,32,6.92774
17,34,6.92735
18,36,6.92698
19,38,6.92659
20,40,6.92622
21,42,6.92584
22,44,6.92547
23,46,6.92511
24,48,6.92475
25,50,6.92439
26,52,6.92404
27,54,6.9237
28,56,6.92336
29,58,6.92303
30,60,6.9227
31,62,6.92239
32,64,6.92209
33,66,6.5089
34,68,6.27806
35,70,6.36035
36,72,6.42394
37,74,6.48467
38,76,6.54284
39,78,6.5984
40,80,6.65135
41,82,6.7017
42,84,6.74945
43,86,6.79461
44,88,6.83721
45,90,6.87728
46,92,6.91482
47,94,6.9499
48,96,6.98253
49,98,7.01277
50,100,7.04066
51,102,7.06628
52,104,7.08966
53,106,7.11088
54,108,7.13002
55,110,7.14714
56,112,7.16233
57,114,7.17568
58,116,7.18726
59,118,7.19718
60,120,7.20553
61,122,7.21242
62,124,7.21795
63,126,7.22221
64,128,7.22533
65,130,7.14666
66,132,7.2985
67,134,7.27048
68,136,6.72795
69,138,5.88457
70,140,4.94015
71,142,3.83827
72,144,2.70764
73,146,1.83536
74,148,1.83273
75,150,2.67523
76,152,3.29736
77,154,4.74918
78,156,5.65169
79,158,6.32573
80,160,6.78282
81,162,7.03387
82,164,7.13039
83,166,7.15241
84,168,7.17875
85,170,7.24239
86,172,7.31164
87,174,7.2541
88,176,6.97077
89,178,6.39977
90,180,5.54545
91,182,4.46628
92,184,3.26895
93,186,2.16236
94,188,1.69775
95,190,1.87854
96,192,2.75708
97,194,3.82941
98,196,4.84657
99,198,6.15945
100,200,6.47453
101,202,6.90606
102,204,7.15481
103,206,7.06492
104,208,7.17594
105,210,7.19966
106,212,7.25107
107,214,7.30608
108,216,7.25973
109,218,7.01407
110,220,6.5129
111,222,5.75238
112,224,4.77407
113,226,3.65734
114,228,1.71046
115,230,1.7908
116,232,1.92843
117,234,2.83934
118,236,3.9135
119,238,4.92115
120,240,5.76977
121,242,6.41268
122,244,6.83524
123,246,6.94741
124,248,7.17514
125,250,7.26469
126,252,7.31128
127,254,7.21067
128,256,6.86205
129,258,6.71263
130,260,6.92593
131,262,6.94169
132,264,6.94214
133,266,6.93951
134,268,6.94075
135,270,6.92693
136,272,6.9343
137,274,6.91881
138,276,6.9247
139,278,6.91465
140,280,6.91648
141,282,6.91689
142,284,6.91408
143,286,6.92446
144,288,6.91818
145,290,6.9335
146,292,6.92574
147,294,6.9403
148,296,6.93331
149,298,6.9429
150,300,6.93917
