shot,sim_time_s,L0_none,L1_readout,L2_prewinder,L3_pe
1,2,0.462951,0.462951,0.462931,0.462237
2,4,0.330351,0.330376,0.330341,0.32973
3,6,0.329202,0.329357,0.329225,0.330276
4,8,0.329531,0.32965,0.329545,0.330107
5,10,0.329534,0.329651,0.329547,0.330086
6,12,0.329533,0.32965,0.329546,0.330068
7,14,0.329533,0.329651,0.329546,0.330051
8,16,0.329533,0.329651,0.329546,0.330033
9,18,0.329533,0.329651,0.329546,0.330015
10,20,0.329533,0.329651,0.329546,0.329997
11,22,0.329533,0.329651,0.329546,0.329979
12,24,0.329533,0.329651,0.329546,0.329961
13,26,0.329533,0.329651,0.329546,0.329943
14,28,0.329533,0.329651,0.329546,0.329925
15,30,0.329533,0.329651,0.329546,0.329906
16,32,0.329533,0.329651,0.329546,0.329888
17,34,0.329533,0.329651,0.329546,0.32987
18,36,0.329533,0.329651,0.329546,0.329851
19,38,0.329533,0.329651,0.329546,0.329833
20,40,0.329533,0.329651,0.329546,0.329816
21,42,0.329533,0.329651,0.329546,0.329798
22,44,0.329533,0.329651,0.329546,0.32978
23,46,0.329533,0.329651,0.329546,0.329763
24,48,0.329533,0.329651,0.329546,0.329746
25,50,0.329533,0.329651,0.329546,0.329728
26,52,0.329533,0.329651,0.329546,0.329712
27,54,0.329533,0.329651,0.329546,0.329695
28,56,0.329533,0.329651,0.329546,0.329679
29,58,0.329533,0.329651,0.329546,0.329664
30,60,0.329533,0.329651,0.329546,0.329648
31,62,0.329533,0.329651,0.329546,0.329633
32,64,0.329533,0.329651,0.329546,0.329619
33,66,0.333673,0.333509,0.334777,0.309944
34,68,0.342505,0.342347,0.343037,0.298951
35,70,0.343141,0.342979,0.343627,0.30287
36,72,0.343166,0.343006,0.343649,0.305898
37,74,0.343166,0.343006,0.34365,0.30879
38,76,0.343166,0.343006,0.34365,0.31156
39,78,0.343166,0.343006,0.34365,0.314205
40,80,0.343166,0.343006,0.34365,0.316727
41,82,0.343166,0.343006,0.34365,0.319124
42,84,0.343166,0.343006,0.34365,0.321398
43,86,0.343166,0.343006,0.34365,0.323549
44,88,0.343166,0.343006,0.34365,0.325578
45,90,0.343166,0.343006,0.34365,0.327485
46,92,0.343166,0.343006,0.34365,0.329273
47,94,0.343166,0.343006,0.34365,0.330943
48,96,0.343166,0.343006,0.34365,0.332497
49,98,0.343166,0.343006,0.34365,0.333937
50,100,0.343166,0.343006,0.34365,0.335266
51,102,0.343166,0.343006,0.34365,0.336485
52,104,0.343166,0.343006,0.34365,0.337599
53,106,0.343166,0.343006,0.34365,0.33861
54,108,0.343166,0.343006,0.34365,0.339521
55,110,0.343166,0.343006,0.34365,0.340336
56,112,0.343166,0.343006,0.34365,0.341059
57,114,0.343166,0.343006,0.34365,0.341695
58,116,0.343166,0.343006,0.34365,0.342247
59,118,0.343166,0.343006,0.34365,0.342719
60,120,0.343166,0.343006,0.34365,0.343117
61,122,0.343166,0.343006,0.34365,0.343445
62,124,0.343166,0.343006,0.34365,0.343708
63,126,0.343166,0.343006,0.34365,0.343911
64,128,0.343166,0.343006,0.34365,0.34406
65,130,0.343166,0.343006,0.202593,0.343973
66,132,0.343166,0.343006,0.156279,0.344587
67,134,0.343166,0.343006,0.157496,0.346099
68,136,0.343166,0.343006,0.157385,0.334234
69,138,0.343166,0.343006,0.157395,0.308713
70,140,0.343166,0.343006,0.157394,0.269531
71,142,0.343166,0.343006,0.178823,0.184527
72,144,0.343166,0.343006,0.179529,0.128785
73,146,0.343166,0.343006,0.179433,0.0873991
74,148,0.343166,0.343006,0.179443,0.0872737
75,150,0.343166,0.343006,0.15788,0.105649
76,152,0.343166,0.343006,0.157325,0.156798
77,154,0.343166,0.343006,0.157402,0.209848
