alpha_deg,block,TI_s,variant,target,ksp_relerr,img_relerr
90.0,1,0.05,cached,koma_water0,0.00011524856487226541,0.00012726774193480117
90.0,1,0.05,cached,koma_water5,0.10350164542588587,0.029938112741466075
90.0,1,0.05,koma_water0,koma_water5,0.1034874993154409,0.029910909835871233
90.0,1,0.05,water_cached,water0,0.00011148573066796594,0.00013580628048092083
90.0,1,0.05,water0,water5,0.0998226701577449,0.03265086141049918
90.0,2,0.1,cached,koma_water0,9.367274385097291e-9,4.457371231693893e-8
90.0,2,0.1,cached,koma_water5,0.09359435618022341,0.030069183364636806
90.0,2,0.1,koma_water0,koma_water5,0.09359436300580863,0.03006918532240907
90.0,2,0.1,water_cached,water0,9.520265657269577e-9,3.991758908081325e-8
90.0,2,0.1,water0,water5,0.0998542821802597,0.03256277466208933
90.0,3,0.2,cached,koma_water0,0.00021005713952074336,0.0002908343919349612
90.0,3,0.2,cached,koma_water5,0.08384750540371153,0.030461339372304188
90.0,3,0.2,koma_water0,koma_water5,0.08386362877559315,0.03053463410080396
90.0,3,0.2,water_cached,water0,0.00024906458784062135,0.00030376210056699165
90.0,3,0.2,water0,water5,0.09992100425122384,0.032485464244406306
90.0,4,0.4,cached,koma_water0,0.0006525422981718375,0.0010308168757116474
90.0,4,0.4,cached,koma_water5,0.07330521743066594,0.030256935288252216
90.0,4,0.4,koma_water0,koma_water5,0.07332363890248136,0.03049572882857424
90.0,4,0.4,water_cached,water0,0.0008843210090875348,0.0010799481148030916
90.0,4,0.4,water0,water5,0.1004190628134962,0.03284279435442182
90.0,5,0.7,cached,koma_water0,0.0014705765885393673,0.0027315453624016956
90.0,5,0.7,cached,koma_water5,0.06041034564715928,0.029375174454315183
90.0,5,0.7,koma_water0,koma_water5,0.06043947213442684,0.030164731833470924
90.0,5,0.7,water_cached,water0,0.002434981928925635,0.0029897837747121956
90.0,5,0.7,water0,water5,0.10162930255862555,0.03400188493156333
90.0,6,1.1,cached,koma_water0,0.0029958953399171003,0.007640242033591723
90.0,6,1.1,cached,koma_water5,0.03615303448525473,0.02557390422767333
90.0,6,1.1,koma_water0,koma_water5,0.03597485151848487,0.02789335317093964
90.0,6,1.1,water_cached,water0,0.008071890689352603,0.010025554118195695
90.0,6,1.1,water0,water5,0.09929515864713032,0.03693122484437217
90.0,7,1.6,cached,koma_water0,0.0050507634865499095,0.019118112578971964
90.0,7,1.6,cached,koma_water5,0.012512309628686935,0.014785040837094116
90.0,7,1.6,koma_water0,koma_water5,0.011008293556326694,0.01881556752950652
90.0,7,1.6,water_cached,water0,0.050130146737304655,0.058890228912705254
90.0,7,1.6,water0,water5,0.11275992809014797,0.0593742813222225
90.0,8,2.2,cached,koma_water0,0.006313945304401421,0.008834358989717864
90.0,8,2.2,cached,koma_water5,0.06273736912940593,0.02388439142443937
90.0,8,2.2,koma_water0,koma_water5,0.06062146331424494,0.022535463063701723
90.0,8,2.2,water_cached,water0,0.010200475977534531,0.011899642373881575
90.0,8,2.2,water0,water5,0.09923899360453056,0.031128142381785982
30.0,1,0.05,cached,koma_water0,0.00015142301216362406,9.168546581355547e-5
30.0,1,0.05,cached,koma_water5,0.0886925375641509,0.03559386833820633
30.0,1,0.05,koma_water0,koma_water5,0.0886916153293358,0.035587799874494806
30.0,1,0.05,water_cached,water0,0.00014520633618175997,9.685637606010682e-5
30.0,1,0.05,water0,water5,0.08498446841040083,0.0374699476549474
30.0,2,0.1,cached,koma_water0,1.2336775983468878e-8,5.610628948719393e-8
30.0,2,0.1,cached,koma_water5,0.0795972150106341,0.035074553527948124
30.0,2,0.1,koma_water0,koma_water5,0.0795972150106341,0.035074553527948124
30.0,2,0.1,water_cached,water0,1.3976337753912789e-8,8.043528940506601e-8
30.0,2,0.1,water0,water5,0.08322693157531007,0.036559303340609195
30.0,3,0.2,cached,koma_water0,0.0002815297256526075,0.0002096620803385105
30.0,3,0.2,cached,koma_water5,0.07233485490604581,0.03534738097012145
30.0,3,0.2,koma_water0,koma_water5,0.07229164581319854,0.03532666343789583
30.0,3,0.2,water_cached,water0,0.00032466052178859475,0.00021648783057439752
30.0,3,0.2,water0,water5,0.08324113813694725,0.03657900408666303
30.0,4,0.4,cached,koma_water0,0.0008853054851580717,0.0007424948712674923
30.0,4,0.4,cached,koma_water5,0.06428396834092165,0.0354610696827815
30.0,4,0.4,koma_water0,koma_water5,0.06413253688747006,0.035395837318348146
30.0,4,0.4,water_cached,water0,0.001153099897739871,0.0007711321529153099
30.0,4,0.4,water0,water5,0.08339146016643213,0.03672328280453027
30.0,5,0.7,cached,koma_water0,0.002031276081778599,0.001983697922841276
