block,TI_s,target,variant,ksp_relerr,img_relerr
1,0.015,koma_full,hybrid_cached,0.0009518668330169461,0.0006960366714432617
1,0.015,koma_full,hybrid_cached_perline,0.0002102490812654538,0.00020642215993806087
1,0.015,koma_full,hybrid_analytic,1.7324823292242797,0.10026722031104944
1,0.015,koma_full,theory_full,1.507050193117162,0.0770500247705007
1,0.015,water_koma,water_cache,0.0008370829113944053,0.000749572922782032
1,0.015,water_koma,water_cache_perline,0.00018489541254118548,0.00022524842420627354
1,0.015,water_koma,water_theory,1.523568907133535,0.07568380131954995
2,0.022,koma_full,hybrid_cached,0.000859927613932974,0.000645681107116691
2,0.022,koma_full,hybrid_cached_perline,0.0001899634123468032,0.00019166858481004838
2,0.022,koma_full,hybrid_analytic,1.697399314025015,0.09934944629593398
2,0.022,koma_full,theory_full,1.5152589034470887,0.0753258857911229
2,0.022,water_koma,water_cache,0.0007718778948767975,0.0006912341589842444
2,0.022,water_koma,water_cache_perline,0.0001705144165275098,0.0002077567756936942
2,0.022,water_koma,water_theory,1.5235934076699176,0.07572109056045961
3,0.032,koma_full,hybrid_cached,0.0007331348129301067,0.0005702716331170104
3,0.032,koma_full,hybrid_cached_perline,0.00016196711962535108,0.00016944077464900518
3,0.032,koma_full,hybrid_analytic,1.6487366708506104,0.0987860286013418
3,0.032,koma_full,theory_full,1.5286670506410154,0.0757761811459723
3,0.032,water_koma,water_cache,0.0006775015185429028,0.0006067133654792153
3,0.032,water_koma,water_cache_perline,0.00014967598058505575,0.00018235084416270964
3,0.032,water_koma,water_theory,1.523629085536784,0.0757751914871957
4,0.045,koma_full,hybrid_cached,0.0005781282068177369,0.00046806542823154797
4,0.045,koma_full,hybrid_cached_perline,0.00012768380380838697,0.0001391836637371952
4,0.045,koma_full,hybrid_analytic,1.5930322124062084,0.0982966485179653
4,0.045,koma_full,theory_full,1.5438193310315769,0.07797871442680136
4,0.045,water_koma,water_cache,0.0005529587296875914,0.0004951881518665828
4,0.045,water_koma,water_cache_perline,0.00012212504471363967,0.00014880815874172514
4,0.045,water_koma,water_theory,1.5236767108509255,0.07584692563302886
5,0.065,koma_full,hybrid_cached,0.0003562801666293833,0.00030367829924210217
5,0.065,koma_full,hybrid_cached_perline,7.870959219527091e-5,9.042989807091585e-5
5,0.065,koma_full,hybrid_analytic,1.52118052668804,0.09965912663581196
5,0.065,koma_full,theory_full,1.5563052664990313,0.08146451124737097
5,0.065,water_koma,water_cache,0.00035688065226484886,0.0003195682944236151
5,0.065,water_koma,water_cache_perline,7.884311129134341e-5,9.602375729919137e-5
5,0.065,water_koma,water_theory,1.5237511978851732,0.07595986203789838
6,0.1,koma_full,hybrid_cached,4.759428465550618e-7,2.641790357957439e-7
6,0.1,koma_full,hybrid_cached_perline,4.7362561525877917e-7,2.6126375661459e-7
6,0.1,koma_full,hybrid_analytic,1.429440290852607,0.10447593758083022
6,0.1,koma_full,theory_full,1.564370978206971,0.0858633738595392
6,0.1,water_koma,water_cache,5.098645602623023e-7,2.9673876117593086e-7
6,0.1,water_koma,water_cache_perline,5.075693945722699e-7,2.942131346310963e-7
6,0.1,water_koma,water_theory,1.5238873806779674,0.07616543267311228
7,0.15,koma_full,hybrid_cached,0.00047831758424899534,0.00046633011005028083
7,0.15,koma_full,hybrid_cached_perline,0.00010564741863171999,0.00013958084852548334
7,0.15,koma_full,hybrid_analytic,1.3440261528202506,0.11123234199696991
7,0.15,koma_full,theory_full,1.5678740083476268,0.09065605236650531
7,0.15,water_koma,water_cache,0.0005424030626969728,0.00048614782558258703
7,0.15,water_koma,water_cache_perline,0.00011980237579769891,0.00014612406606546107
7,0.15,water_koma,water_theory,1.5240946497885202,0.07647961303459119
8,0.22,koma_full,hybrid_cached,0.0011401230064972262,0.0011833535115570646
8,0.22,koma_full,hybrid_cached_perline,0.00025187001746805745,0.00035470958412708506
8,0.22,koma_full,hybrid_analytic,1.2648556038380203,0.11724813098999971
8,0.22,koma_full,theory_full,1.5682624271015504,0.09587409594883671
8,0.22,water_koma,water_cache,0.0013740854269633216,0.0012319999380737314
8,0.22,water_koma,water_cache_perline,0.00030355605479216225,0.00037032531596325856
8,0.22,water_koma,water_theory,1.5244127926383326,0.07696393041460277
9,0.35,koma_full,hybrid_cached,0.002425505629936247,0.002740895663393706
9,0.35,koma_full,hybrid_cached_perline,0.0005358265163675448,0.0008225772867449088
9,0.35,koma_full,hybrid_analytic,1.159735244304798,0.12305194260468015
9,0.35,koma_full,theory_full,1.5577714775384208,0.10259153770562529
9,0.35,water_koma,water_cache,0.003189653256504167,0.0028621648748015337
9,0.35,water_koma,water_cache_perline,0.0007046359951289672,0.0008602639492073342
9,0.35,water_koma,water_theory,1.5251072524273825,0.078031308658655
10,0.55,koma_full,hybrid_cached,0.0046721909970389415,0.005882599121142305
10,0.55,koma_full,hybrid_cached_perline,0.0010320608276708843,0.001766680899895829
10,0.55,koma_full,hybrid_analytic,1.0248933486349594,0.1272788472866194
10,0.55,koma_full,theory_full,1.535362009355298,0.11858113242426316
10,0.55,water_koma,water_cache,0.006959133156849781,0.006254656184826496
10,0.55,water_koma,water_cache_perline,0.0015372384746481975,0.0018811947538027963
10,0.55,water_koma,water_theory,1.5265577304610565,0.08031797473786677
11,0.85,koma_full,hybrid_cached,0.008948743150316178,0.013393145122489288
11,0.85,koma_full,hybrid_cached_perline,0.0019765603425922333,0.004036051727837062
11,0.85,koma_full,hybrid_analytic,0.8078960803803666,0.1336246622269393
11,0.85,koma_full,theory_full,1.5181540701826606,0.14768596496355152
11,0.85,water_koma,water_cache,0.01695239073343365,0.015288728357760127
11,0.85,water_koma,water_cache_perline,0.003744374370281753,0.004611250128154858
11,0.85,water_koma,water_theory,1.5304687539026747,0.08665702436640278
12,1.3,koma_full,hybrid_cached,0.01788801582169399,0.04349369074119268
12,1.3,koma_full,hybrid_cached_perline,0.0039507825387953945,0.013185831702845763
12,1.3,koma_full,hybrid_analytic,0.32426602948063016,0.14361063730973989
12,1.3,koma_full,theory_full,1.5081448414030227,0.25636372952559
12,1.3,water_koma,water_cache,0.08594155520034298,0.0787375153300392
12,1.3,water_koma,water_cache_perline,0.01898121644539389,0.023716959630711448
12,1.3,water_koma,water_theory,1.5579103209172547,0.13868652488164043
13,2.0,koma_full,hybrid_cached,0.0271968768522882,0.03527747503533639
13,2.0,koma_full,hybrid_cached_perline,0.006006152331119631,0.010180611356943712
13,2.0,koma_full,hybrid_analytic,0.6977213258088267,0.11833079111212409
13,2.0,koma_full,theory_full,1.5293430059190396,0.15846744463648244
13,2.0,water_koma,water_cache,0.05862086207741028,0.05046181309059955
13,2.0,water_koma,water_cache_perline,0.012945814461002925,0.014831834752911352
13,2.0,water_koma,water_theory,1.5038871307328798,0.06860458008212672
14,2.8,koma_full,hybrid_cached,0.030272685238385243,0.02358195087435328
14,2.8,koma_full,hybrid_cached_perline,0.006684618950326248,0.006899672045138989
14,2.8,koma_full,hybrid_analytic,1.4273521527576416,0.10634586022234513
14,2.8,koma_full,theory_full,1.5558128921987846,0.10279600580034112
14,2.8,water_koma,water_cache,0.03207116795144001,0.02793946145577062
14,2.8,water_koma,water_cache_perline,0.007081743620543279,0.00839699772478051
14,2.8,water_koma,water_theory,1.5121503182312852,0.06429433335557803
