sigma,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,snr_dual
0.0,T1_1,1.879,0.6788581621919334,0.0,63.871305897182886,3.737265139779371e18
0.0,T1_2,1.432,1.4768713374319187,0.0,3.1334732843518514,2.5418656183411016e18
0.0,T1_3,1.027,1.0362233290461478,0.0,0.8980846198780355,2.5369377468118467e18
0.0,T1_4,0.7513,0.7354078138655299,0.0,2.1152916457434183,3.498958329604997e18
0.0,T1_5,0.527,0.515987218233503,0.0,2.089711910151255,4.556702877896147e18
0.0,T1_6,0.3841,0.3967007431658388,0.0,3.2805892126630307,5.662350673908335e18
0.0,T1_7,0.2723,0.26895598015308403,0.0,1.2280645783753263,5.423109862965903e18
0.0,T1_8,0.1945,0.19087808954514648,0.0,1.8621647582794452,5.3838982460725e18
0.0,T1_9,0.1378,0.13702352157279532,0.0,0.5634821677827705,5.576091031771808e18
0.0,T1_10,0.0947,0.09396745979766327,0.0,0.7735377004611477,5.049747325132472e18
0.0,T1_11,0.067,0.0674553705216152,0.0,0.6796574949480274,4.3031211711523717e18
0.0,T1_12,0.04814,0.04898010911762362,0.0,1.7451373444611773,3.2908415918785167e18
0.0,T1_13,0.03435,0.03436611601872002,0.0,0.04691708506554636,3.382366494552752e18
0.0,T1_14,0.02416,0.02438963642677315,0.0,0.9504818988954735,3.127659987413762e18
216.0,T1_1,1.879,0.6778294344105632,0.11105522684220841,63.926054581662406,227.8470058482951
216.0,T1_2,1.432,1.4735271706270685,0.6584544562001485,2.899942082895821,155.0580066726143
216.0,T1_3,1.027,1.0346530573963941,0.21258910554778307,0.8114942827258941,154.17171978418529
216.0,T1_4,0.7513,0.7365350472310138,0.4991537114374742,1.9652539290544693,213.29121174414215
216.0,T1_5,0.527,0.5171735763281339,0.08125557022092583,1.8645965221757563,277.46134496704275
216.0,T1_6,0.3841,0.3964001670675362,0.057157463887587384,3.202334565877686,344.3502581466043
216.0,T1_7,0.2723,0.26895598015308403,0.040112898175370046,1.2280645783753263,329.94998088021896
216.0,T1_8,0.1945,0.19175582356109677,0.03981585396279145,1.4108876292561527,328.0715039479183
216.0,T1_9,0.1378,0.1373385661286067,0.016532650112091145,0.5667137969043221,339.52083695507247
216.0,T1_10,0.0947,0.09396745979766327,0.011046866073709657,0.7735377004611477,307.64957919564836
216.0,T1_11,0.067,0.0674553705216152,0.008458255289214477,0.6796574949480274,262.5047016876282
216.0,T1_12,0.04814,0.048794550477431566,0.008281012243997061,1.359681091465639,200.2868077540858
216.0,T1_13,0.03435,0.03441879241389561,0.019252628839537007,0.20026903608618957,206.28402771550202
216.0,T1_14,0.02416,0.02429723753563833,0.006278517095955433,0.6992730410838811,190.22463713924816
648.0,T1_1,1.879,0.6783674508160294,1.455733733607076,63.8974214573694,68.70608115230253
648.0,T1_2,1.432,1.4769995436146004,1.4950000000000008,3.188180305249109,46.563357723499905
648.0,T1_3,1.027,1.0362684586641064,0.8548648327782882,1.0682503293192818,46.98437416792731
648.0,T1_4,0.7513,0.7376686862954922,1.4814772524166766,1.8143635970328498,64.20216513390619
648.0,T1_5,0.527,0.5183734694620876,1.4950000000000008,1.6601636962345476,83.19343759026764
648.0,T1_6,0.3841,0.39549843877262875,0.22990934454486364,2.967570625521654,103.65448143094964
648.0,T1_7,0.2723,0.26957436388988737,0.15125585133109345,1.0009680903829132,99.53240619977261
648.0,T1_8,0.1945,0.19161285980889992,0.10326434689645639,1.4843908437532436,98.81706741214651
648.0,T1_9,0.1378,0.138179892195129,0.14196252322706596,0.6513385195443288,102.51733741775108
648.0,T1_10,0.0947,0.09411231164885114,1.4911780586626828,0.7674470329773141,92.87718823788542
648.0,T1_11,0.067,0.06766274931823633,0.03965739354136542,1.0511249824089157,79.17191263119956
648.0,T1_12,0.04814,0.04865361522796025,0.023311412611885914,1.733439778152694,60.62744944540713
648.0,T1_13,0.03435,0.03447296896404887,0.4268011770518097,0.9394020168704594,61.934415341085696
648.0,T1_14,0.02416,0.02435565116372545,1.4950000000000008,1.4472649921067762,57.32403422667272
