sigma,ksp_rms_mean,snr_ksp_measured,snr_ksp_phantom,background_std_a,snr_nema_peak_a,diff_roi_std,snr_dual_peak,snr_dual_block_min,snr_dual_block_median,snr_dual_block_max,mape_mean_pct,mape_median_pct,mape_max_pct,mape_mean_pct_std_lo,mape_mean_pct_std_hi,mape_median_pct_std,n_seeds,n_blocks,clean_recon
0.0,7649.165283203125,Inf,Inf,15.696809352075167,52.47267485875041,0.0,5.662350673908335e18,6.035485406676386e18,6.424934074502087e18,9.184039207394345e18,5.9455642570170975,1.4866009614182514,63.871305897182886,0.0,8.881784197001252e-16,4.596760034896314e-16,15.0,4.0,0.0
216.0,7649.165283203125,35.4128022370515,107.07824908245722,15.351289591314831,53.6513009674697,5.15828943370726,344.3502581466043,304.0565572588787,454.72008799015737,538.4870265330052,5.827697166640909,1.1107086908248183,63.926054581662406,0.08806552132239467,0.07403448458151451,0.12623756806385872,15.0,4.0,0.0
648.0,7649.165283203125,11.804267412350502,35.69274969415241,15.453143861664458,53.03941640498655,17.108353347532557,103.65448143094964,95.68514378251383,107.35208597607433,282.6559934549545,5.9765233047802475,1.4135267949434904,63.8974214573694,0.18495769768385595,0.2541291240401185,0.37682730077804394,15.0,4.0,0.0
1730.0,7649.165283203125,4.421482822660766,13.369307399890616,21.23090117907175,38.27516633168552,36.72329373086449,48.72415398265658,42.7781908566265,61.21940822116488,87.23966114213115,7.670574165908585,1.9540269206892849,64.0840420004614,1.33197441032139,3.908385857066787,0.6751881363593948,15.0,4.0,0.0
2590.0,7649.165283203125,2.9533456691903957,8.930077915757051,28.785684177450694,28.174903435820223,64.40875565655581,27.27880555777103,24.533723914713427,37.49114390416722,40.78215940434602,10.053862583239537,3.004929429773855,63.709656821408075,2.709044674963938,4.026552617572046,0.9736274688473546,15.0,4.0,0.0
3460.0,7649.165283203125,2.210741411330383,6.684653699945308,36.5431536823743,22.203451023312695,70.3812272060316,25.07204609358527,26.21979965045808,28.778128757245362,40.364284846324296,12.014929246580493,4.260748196340277,63.92614618052012,3.581652664094693,5.428873963065329,1.0208573430704313,15.0,4.0,0.0
4750.0,7649.165283203125,1.6103505859375,4.869242484591739,49.382366682864934,18.318120431102432,102.12398315864453,18.165873134814934,14.01452362970528,24.701760869545353,31.313969136565934,15.446762631401434,6.102885446507926,58.76861918088818,2.4573447332562983,5.197327879832869,1.9234556203563333,15.0,4.0,0.0
6480.0,7649.165283203125,1.1804267412350502,3.569274969415241,66.2404373144629,12.63071023995343,119.3501242223193,14.884277442216215,13.378014019603123,21.913161631309258,24.23292835600349,133.94055528500152,8.660775610748408,1634.749784276945,115.10128135781302,748.0598065577153,2.2106816858980576,15.0,4.0,0.0
8640.0,7649.165283203125,0.8853200559262876,2.6769562270614307,88.48431106065678,10.057540786461804,192.4145596239298,9.057193649501354,8.25520198153449,10.99480438464106,19.956807191076436,82.16619695532378,12.183567764902794,858.4214331881994,58.27517612332091,811.4392274030965,4.4797832273599765,15.0,4.0,0.0
9720.0,7649.165283203125,0.7869511608233668,2.3795166462768274,101.41212925108134,8.800168561230452,178.90931433374334,10.118196714040256,9.121278775439874,13.20866406576905,16.992594197437473,152.85620591196565,13.0684575851445,1436.1030256871409,125.6261014896957,425.583068387753,3.5763947063695447,15.0,4.0,0.0
10800.0,7649.165283203125,0.7082560447410301,2.1415649816491444,109.47945695670556,8.318917276369643,228.89615014418703,8.417971273886183,7.830302439927964,10.326676538778196,12.302408163563431,83.93571574540319,13.727411436236794,851.2501961899491,59.292884911193404,822.6732493770568,3.662740013338956,15.0,4.0,0.0
14000.0,7649.165283203125,0.5463689488002232,1.6520644144150545,143.86313856136675,6.642379193822409,323.01228888868354,5.926224345389323,5.115912623420844,7.175548731402939,10.332431463607586,209.2250654084665,22.247843273883582,2259.2604021998404,168.1902693156073,382.71254445838497,9.06266495360501,15.0,4.0,0.0
