sigma,ksp_rms_mean,snr_ksp_measured,snr_ksp_phantom,background_std_a,snr_nema_peak_a,diff_roi_std,snr_dual_peak,snr_dual_block_min,snr_dual_block_median,snr_dual_block_max,mape_mean_pct,mape_median_pct,mape_max_pct,mape_mean_pct_std_lo,mape_mean_pct_std_hi,mape_median_pct_std,n_seeds,n_blocks,clean_recon
0.0,170.1982192993164,Inf,Inf,0.4009753055309435,37.00811641421357,0.0,1.0201564591004058e17,1.0877761450357555e17,1.134174247237714e17,1.6901333682906726e17,6.357675541791765,1.881722801332943,63.87130589718292,0.0,8.881784197001252e-16,4.532466518368395e-16,25.0,4.0,0.0
27.0,170.1982192993164,6.303637751826534,19.685505733915655,0.45000133633657574,33.341683726470315,0.6584457254669929,49.26808070691422,41.17476358885589,53.5645713657504,102.28616168694981,7.629142975950023,2.4067807926968374,63.89547950172152,0.7926767100083213,4.4861828234299965,0.529290227668312,25.0,4.0,0.0
40.0,170.1982192993164,4.25495548248291,13.287716370393069,0.5116248949174249,29.24827745128082,0.9162091996797452,34.891076532237086,33.02333697974401,41.20379504743151,57.500640289112305,9.605121762547755,3.08590332356788,64.04578177256084,2.248943895178674,3.9955755051503985,0.9554183807311732,25.0,4.0,0.0
50.0,170.1982192993164,3.403964385986328,10.630173096314454,0.5833062007552674,25.192956123228637,1.2825445721818587,24.89392212238342,24.55869312201814,30.282612389824692,40.790622777216825,10.274437440445498,3.720016458788681,63.38883033293317,2.306738263170458,4.109127121725338,0.9392112477691094,25.0,4.0,0.0
60.0,170.1982192993164,2.8366369883219402,8.858477580262045,0.6806849288200726,21.763851278354092,1.240146692330524,25.79759949412025,25.127760927172996,29.420314366441783,49.117304136524574,11.785271654823493,4.15579812111782,63.68162647067757,3.64837909563821,2.8925660495038645,1.293092776438002,25.0,4.0,0.0
70.0,170.1982192993164,2.431403132847377,7.592980783081752,0.7662218381169855,19.354602439107236,1.6654183556578612,19.545664202930066,15.62654260184765,28.880691327266614,37.33389672114767,13.112839705032783,5.393101880201425,63.53879618556517,3.6716119176145576,3.320636154507827,1.9223102511106325,25.0,4.0,0.0
85.0,170.1982192993164,2.0023319917566638,6.253042997832033,0.9000054607869341,16.637666239991958,1.8461129340532747,17.66914966648026,16.041278636484485,18.775329553928728,35.17639359037423,50.15240370772433,5.71383537819459,508.16322907108434,35.546185794310944,841.5437303806837,1.8217600184448648,25.0,4.0,0.0
100.0,170.1982192993164,1.701982192993164,5.315086548157227,1.0464546887192092,14.016407978673069,2.0280658813013925,15.548470521782557,13.90240667143757,22.28069199991844,26.274781266105645,49.327561839826195,6.681195412410188,500.00887473065274,35.41369776743958,845.4439457377979,2.0126693742071646,25.0,4.0,0.0
120.0,170.1982192993164,1.4183184941609701,4.429238790131023,1.2497577861593148,12.486322802065349,2.6525924211391154,12.244994188680902,13.060456266957576,15.586752224707032,17.66010120503787,20.105039673864123,8.321797719159184,60.241681126485155,5.464469265484596,7.416534513209593,2.432049663306694,25.0,4.0,0.0
150.0,170.1982192993164,1.134654795328776,3.543391032104818,1.555902158873915,9.738009939552615,2.976131036066965,11.195445970170612,9.842410339528854,14.449637004917163,17.351595495870665,82.28772977964265,10.51313899843014,882.007535860909,61.38489463517784,711.8726617395209,2.7862832115559724,25.0,4.0,0.0
200.0,170.1982192993164,0.850991096496582,2.6575432740786136,2.040976710662379,7.9596554050408335,4.043688615943459,8.344974716137958,9.766931114039716,11.784505938273005,13.48064890549008,54.42103462290325,15.909537571513795,402.00408799130577,26.83842886971194,611.2316699540792,5.051830674097731,25.0,4.0,0.0
260.0,170.1982192993164,0.6546085357666016,2.044264056983549,2.629151464938144,6.0103989066442045,5.34883474944003,6.48135245963473,6.856746636787855,8.606525559779616,11.96537361301248,156.04152408906188,23.032347705651986,1482.2325316573915,113.90017338293246,401.50071400188307,8.74713913181463,25.0,4.0,0.0
