sigma,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,snr_dual
0.0,T1_1,1.838,0.6788581621919336,0.0,63.06538834646715,6.290150222567834e16
0.0,T1_2,1.398,1.4434917970296128,0.0,3.254062734593199,4.390865594220544e16
0.0,T1_3,0.9983,1.0362233290461473,0.0,3.798790849058136,4.74951233526825e16
0.0,T1_4,0.7258,0.7187864777931671,0.0,0.9663160935289244,6.601169635062579e16
0.0,T1_5,0.5091,0.4985932917896103,0.0,2.0637808309545633,7.944937556200653e16
0.0,T1_6,0.367,0.3789713079824014,0.0,3.2619367799458927,9.751797333753856e16
0.0,T1_7,0.2587,0.25401557769676286,0.0,1.810754659156213,9.20890868938834e16
0.0,T1_8,0.1847,0.18234732479405985,0.0,1.2737819198376719,9.81064702933074e16
0.0,T1_9,0.1308,0.12941191703767868,0.0,1.0612255063618645,9.871195921344102e16
0.0,T1_10,0.0909,0.08976784581524516,0.0,1.2454941526455807,8.255460148353434e16
0.0,T1_11,0.0642,0.06518145033205046,0.0,1.528738834969572,7.179446179279667e16
0.0,T1_12,0.04628,0.04732898989392951,0.0,2.2666160197266936,5.303500193503642e16
0.0,T1_13,0.03265,0.03283021814870853,0.0,0.5519698275912234,5.076362158355251e16
0.0,T1_14,0.02295,0.023034801394765537,0.0,0.3695049880851205,4.351121094292275e16
27.0,T1_1,1.838,0.6797964114429046,1.4950000000000006,63.01434105316079,30.936086788202417
27.0,T1_2,1.398,1.4430595045651773,1.4950000000000006,3.565756452947819,21.73551810087477
27.0,T1_3,0.9983,1.0494476085040674,1.4950000000000006,5.1234707506829,23.353277008250725
27.0,T1_4,0.7258,0.7594581932977374,1.4950000000000006,6.891498900954138,32.727999329870535
27.0,T1_5,0.5091,0.5007286083426016,1.4950000000000006,1.9556277551381163,39.630256083743596
27.0,T1_6,0.367,0.38128781248751387,1.4950000000000006,3.893136917578704,47.65310356025429
27.0,T1_7,0.2587,0.2538788837286707,1.4950000000000006,2.14931242104353,45.31747822284609
27.0,T1_8,0.1847,0.18104270981524975,1.4950000000000006,2.147674213636902,48.419556264547985
27.0,T1_9,0.1308,0.12901219910180595,1.4950000000000006,1.5905073718146499,49.01400859801112
27.0,T1_10,0.0909,0.08971438041693826,1.4950000000000006,1.5949859063784328,40.84747634054813
27.0,T1_11,0.0642,0.06551886763256157,1.4950000000000006,2.1155881713808613,34.92197395963762
27.0,T1_12,0.04628,0.04764291988086398,1.4950000000000006,3.19132896738237,26.43416372043776
27.0,T1_13,0.03265,0.032934190310738104,1.4950000000000006,1.7888155690608636,25.211872999757073
27.0,T1_14,0.02295,0.022922114353334883,1.4950000000000006,2.780248414583424,21.504278699893035
40.0,T1_1,1.838,0.6781089496545917,1.4950000000000006,63.10615072608314,21.692295890307726
40.0,T1_2,1.398,1.437354794339399,1.4950000000000006,3.7567691192718904,14.548972433872056
40.0,T1_3,0.9983,1.066967885856603,1.4950000000000006,6.878482005068926,16.244442936595
40.0,T1_4,0.7258,0.7707795570776367,1.4950000000000006,9.892623844826073,22.68446525776326
40.0,T1_5,0.5091,0.500494802053934,1.4950000000000006,2.6315900641206444,26.879698146917963
40.0,T1_6,0.367,0.3811035017912839,1.4950000000000006,4.149099421560011,32.95492473044199
40.0,T1_7,0.2587,0.24815618170235634,1.4950000000000006,4.657605531109144,31.488143420565454
40.0,T1_8,0.1847,0.18172917276164996,1.4950000000000006,2.216701550160405,32.867812358879206
40.0,T1_9,0.1308,0.12935384693602642,1.4950000000000006,1.8643208698856355,33.410894576818265
40.0,T1_10,0.0909,0.08963336184534698,1.4950000000000006,2.3065577403588473,28.321640324959052
40.0,T1_11,0.0642,0.0656609502772455,1.4950000000000006,2.670033691586048,24.3288066983601
40.0,T1_12,0.04628,0.04782749800607624,1.4950000000000006,3.9600630322086237,18.745878047402986
40.0,T1_13,0.03265,0.032722244566845096,1.4950000000000006,3.127768438909814,17.030485371181964
40.0,T1_14,0.02295,0.022864437917588267,1.4950000000000006,4.1099757589353025,14.744714123662469
50.0,T1_1,1.838,0.684177034102317,1.4950000000000006,62.77600467343216,15.315019971670862
50.0,T1_2,1.398,1.4323177148342012,1.4950000000000006,6.045799251169683,10.826850655003398
50.0,T1_3,0.9983,1.070237306792008,1.4950000000000006,7.284668547617501,11.80719016244526
50.0,T1_4,0.7258,0.8719031387665345,1.4950000000000006,22.213327424975432,16.313852067546367
50.0,T1_5,0.5091,0.49865561427126104,1.4950000000000006,3.4997000099723903,19.926029055790156
50.0,T1_6,0.367,0.380250515624153,1.4950000000000006,4.130614605556501,24.066682826709137
50.0,T1_7,0.2587,0.254014022621403,1.4950000000000006,3.60602416226884,22.770607930837855
50.0,T1_8,0.1847,0.18020223407256594,1.4950000000000006,3.1926019411773425,23.603095255383877
50.0,T1_9,0.1308,0.12854830843953835,1.4950000000000006,2.6513467432530455,24.11322061354363
50.0,T1_10,0.0909,0.08977385272121827,1.4950000000000006,2.741079640689936,20.19812419835002
50.0,T1_11,0.0642,0.0651909168554232,1.4950000000000006,2.6268345436951126,17.20478120488057
50.0,T1_12,0.04628,0.04774102480382963,1.4950000000000006,5.889570507651849,13.398833310277169
50.0,T1_13,0.03265,0.03301704714657218,1.4950000000000006,3.8081644099025924,12.526216068600341
50.0,T1_14,0.02295,0.02264929094419686,1.4950000000000006,5.881334580245139,10.639986441939579
60.0,T1_1,1.838,0.6757048058609673,1.4950000000000006,63.23695289113344,16.20999337640657
60.0,T1_2,1.398,1.4393523614247032,1.4950000000000006,6.420874075256044,11.27547528559034
60.0,T1_3,0.9983,1.0735061123312541,1.4950000000000006,8.161587361221468,12.389336748755527
60.0,T1_4,0.7258,0.8777968278829791,1.4950000000000006,24.92310275163966,16.7832255005728
60.0,T1_5,0.5091,0.5015839212610679,1.4950000000000006,3.445316465689219,20.443468514891627
60.0,T1_6,0.367,0.380731252436721,1.4950000000000006,4.855589409037344,24.306469939719467
60.0,T1_7,0.2587,0.24829145483120166,1.4950000000000006,5.880300335157054,23.3276284387221
60.0,T1_8,0.1847,0.18517150859007814,1.4950000000000006,5.986710257196501,24.74042439760027
60.0,T1_9,0.1308,0.12870849345189445,1.4950000000000006,2.948203085194974,25.102627251339396
60.0,T1_10,0.0909,0.08961968279352492,1.4950000000000006,3.016739685944143,21.517710108780992
60.0,T1_11,0.0642,0.0658441579739236,1.4950000000000006,3.3476119263898942,18.173279149531115
60.0,T1_12,0.04628,0.048172772803903356,1.4950000000000006,6.78672823893193,13.739343824948824
60.0,T1_13,0.03265,0.03325952797960513,1.4950000000000006,5.066041494418697,13.083844057592424
60.0,T1_14,0.02295,0.023893977668257495,1.4950000000000006,11.598856051812534,10.359959050089149
70.0,T1_1,1.838,0.6833107564895875,1.4950000000000006,62.82313620840112,12.024765727079982
70.0,T1_2,1.398,1.448273614332578,1.4950000000000006,8.110023441675288,8.629397055260464
70.0,T1_3,0.9983,1.0802153220428539,1.4950000000000006,10.061638981086906,9.372383978110303
70.0,T1_4,0.7258,0.97643884616799,1.4950000000000006,38.4806692158945,13.230195018618085
70.0,T1_5,0.5091,0.4973243399811708,1.4950000000000006,4.310880183213532,14.614704611250891
70.0,T1_6,0.367,0.3810859388702589,1.4950000000000006,5.275667695769762,19.321825868764105
70.0,T1_7,0.2587,0.2403582051923442,1.4950000000000006,8.642422063088956,17.350793450907954
70.0,T1_8,0.1847,0.18320262676896237,1.4950000000000006,4.493147609619081,18.499812473068427
70.0,T1_9,0.1308,0.12808050192058446,1.4950000000000006,3.5228071615122696,19.03185798987053
70.0,T1_10,0.0909,0.08971706204359339,1.4950000000000006,3.5609481490794828,15.42094980791006
70.0,T1_11,0.0642,0.0640158186206615,1.4950000000000006,5.403194633396859,13.165577050665656
70.0,T1_12,0.04628,0.04768026696678275,1.4950000000000006,8.843435067492107,10.241893293302644
70.0,T1_13,0.03265,0.03507655796041613,1.4950000000000006,13.169989090090311,9.820581061230186
70.0,T1_14,0.02295,0.20422690434701693,1.4950000000000006,796.1697419763624,7.9527642252821265
85.0,T1_1,1.838,0.7140208988972341,1.4950000000000006,61.15229059318641,10.789545662637016
85.0,T1_2,1.398,1.3879317037747056,1.4950000000000006,11.077701417765429,7.270358262649233
85.0,T1_3,0.9983,1.0761205285087194,1.4950000000000006,9.947036918606734,8.322341543654582
85.0,T1_4,0.7258,0.9717386870045999,1.4950000000000006,38.274682578214104,11.265635989973847
85.0,T1_5,0.5091,0.4821435852114263,1.4950000000000006,8.826618222063566,13.332496678739135
85.0,T1_6,0.367,0.3744521854373052,1.4950000000000006,4.81390719978918,16.452209300836845
85.0,T1_7,0.2587,0.2523730927908012,1.4950000000000006,7.765101361169355,15.210452686567852
85.0,T1_8,0.1847,0.18841414715021376,1.4950000000000006,6.385802369810969,16.85117692256676
85.0,T1_9,0.1308,0.13091041688186558,1.4950000000000006,3.181191768679166,16.958465811643652
85.0,T1_10,0.0909,0.08959316083197633,1.4950000000000006,3.9662253987941263,14.229684557853016
85.0,T1_11,0.0642,0.0656424095812756,1.4950000000000006,5.267243663227489,12.097662303565006
