sigma,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,snr_dual
0.0,T1_1,1.879,1.5998963879503219,0.0,14.853837788700284,8.396741057445888e16
0.0,T1_2,1.432,1.3324935770261417,0.0,6.94877255404038,5.20845138109399e16
0.0,T1_3,1.027,1.0362233290461476,0.0,0.898084619878035,4.787793204294451e16
0.0,T1_4,0.7513,0.7354078138655296,0.0,2.1152916457434183,6.822830749725491e16
0.0,T1_5,0.527,0.4929266061757923,0.0,6.465539625086904,8.01609120565166e16
0.0,T1_6,0.3841,0.5043251216367556,0.0,31.30047426106629,1.0974190552848794e17
0.0,T1_7,0.2723,0.28804890607010947,0.0,5.783659959643585,1.0281670992409395e17
0.0,T1_8,0.1945,0.1908780895451464,0.0,1.8621647582794463,1.011150795833344e17
0.0,T1_9,0.1378,0.14180372438452116,0.0,2.9054603661256535,1.0552978600414413e17
0.0,T1_10,0.0947,0.09289948704036605,0.0,1.9012808443864413,9.095426795057971e16
0.0,T1_11,0.067,0.06593077646348006,0.0,1.595856024656597,7.812495689803366e16
0.0,T1_12,0.04814,0.05367018782062434,0.0,11.487718779859506,6.379006975593677e16
0.0,T1_13,0.03435,0.03358938948266855,0.0,2.2142955380828058,6.31724905028649e16
0.0,T1_14,0.02416,0.02765739076272891,0.0,14.475955143745521,5.316890178512486e16
27.0,T1_1,1.879,1.5610270874413295,1.495,16.92245410104687,40.378942259401
27.0,T1_2,1.432,1.1812947811945966,1.495,17.507347681941578,25.08734180330027
27.0,T1_3,1.027,1.0501622581827081,1.495,2.334902127297885,22.98002985087784
27.0,T1_4,0.7513,0.7388590058089453,1.495,1.8073174205045113,32.94016173293379
27.0,T1_5,0.527,0.497076772688147,1.495,5.678031747979713,38.86864273661831
27.0,T1_6,0.3841,0.5043488435085093,1.495,31.306650223511937,52.388785547547464
27.0,T1_7,0.2723,0.28941127985965864,1.495,6.2839808518761116,49.2650151869341
27.0,T1_8,0.1945,0.18899173973756295,1.4464379047858682,2.8645856652744963,48.76689441151108
27.0,T1_9,0.1378,0.14188298745401645,1.495,3.008059309283609,51.02377969616735
27.0,T1_10,0.0947,0.09294901439021616,1.495,1.9371024321354187,43.71512633726146
27.0,T1_11,0.067,0.06663400278276482,1.495,1.2751766781967184,37.03933476046054
27.0,T1_12,0.04814,0.05382416960418883,1.495,11.80758123013883,30.622806197950663
27.0,T1_13,0.03435,0.0337327981324908,1.495,1.9150878459905885,30.483551829915598
27.0,T1_14,0.02416,0.027574406412693785,1.495,14.132476873732545,25.558444376166698
40.0,T1_1,1.879,1.5748991089717712,1.495,16.18418792060824,28.741979142461634
40.0,T1_2,1.432,1.114829680756323,1.495,22.2129652937183,17.226758257482253
40.0,T1_3,1.027,1.0603906526436864,1.495,3.251280685850665,16.25242882188251
40.0,T1_4,0.7513,0.7661707781706601,1.495,5.739508468176681,23.37910826747431
40.0,T1_5,0.527,0.4944784285985521,1.495,6.185026695672499,27.015831647375027
40.0,T1_6,0.3841,0.5053475304671864,1.495,31.56665724217298,36.91966080599341
40.0,T1_7,0.2723,0.28943715355271654,1.495,6.293482758985148,34.96153122689216
40.0,T1_8,0.1945,0.1929565850333746,1.495,3.9952705610708805,33.79209826483316
40.0,T1_9,0.1378,0.14261540607255924,1.495,3.584646314159635,35.47443320424395
40.0,T1_10,0.0947,0.09292613804118335,1.495,2.4196638293731247,31.02985895005521
40.0,T1_11,0.067,0.06676335417028965,1.495,1.7366654713127425,26.347874441448905
40.0,T1_12,0.04814,0.05216927644691442,1.495,12.10504451105197,21.745073043499584
