label,block,TI_s,TR_s,mag
T1_1,1,0.04731601393661066,0.55,3.0366711616516113
T1_1,2,0.3353275296083989,0.5,1.302286982536316
T1_1,3,0.307034604613395,0.8906213060887729,0.8767701387405396
T1_1,4,0.35335896293370367,0.5552809165895392,1.1169627904891968
T1_2,1,0.04731601393661066,0.55,2.0609371662139893
T1_2,2,0.3353275296083989,0.5,1.1545785665512085
T1_2,3,0.307034604613395,0.8906213060887729,0.6154077053070068
T1_2,4,0.35335896293370367,0.5552809165895392,1.101635456085205
T1_3,1,0.04731601393661066,0.55,2.7872488498687744
T1_3,2,0.3353275296083989,0.5,1.422520399093628
T1_3,3,0.307034604613395,0.8906213060887729,0.5644918084144592
T1_3,4,0.35335896293370367,0.5552809165895392,1.3828271627426147
T1_4,1,0.04731601393661066,0.55,3.394315481185913
T1_4,2,0.3353275296083989,0.5,2.0233266353607178
T1_4,3,0.307034604613395,0.8906213060887729,0.18532182276248932
T1_4,4,0.35335896293370367,0.5552809165895392,1.988624095916748
T1_5,1,0.04731601393661066,0.55,4.10644006729126
T1_5,2,0.3353275296083989,0.5,3.060576915740967
T1_5,3,0.307034604613395,0.8906213060887729,0.660423994064331
T1_5,4,0.35335896293370367,0.5552809165895392,3.0135371685028076
T1_6,1,0.04731601393661066,0.55,3.5391452312469482
T1_6,2,0.3353275296083989,0.5,3.184795618057251
T1_6,3,0.307034604613395,0.8906213060887729,1.7466636896133423
T1_6,4,0.35335896293370367,0.5552809165895392,3.2311508655548096
T1_7,1,0.04731601393661066,0.55,4.576052188873291
T1_7,2,0.3353275296083989,0.5,4.913455009460449
T1_7,3,0.307034604613395,0.8906213060887729,3.2804908752441406
T1_7,4,0.35335896293370367,0.5552809165895392,4.9661712646484375
T1_8,1,0.04731601393661066,0.55,4.0779805183410645
T1_8,2,0.3353275296083989,0.5,5.873397350311279
T1_8,3,0.307034604613395,0.8906213060887729,4.823472023010254
T1_8,4,0.35335896293370367,0.5552809165895392,5.960056781768799
T1_9,1,0.04731601393661066,0.55,3.1932225227355957
T1_9,2,0.3353275296083989,0.5,6.692325115203857
T1_9,3,0.307034604613395,0.8906213060887729,6.048667907714844
T1_9,4,0.35335896293370367,0.5552809165895392,6.767836570739746
T1_10,1,0.04731601393661066,0.55,1.5850340127944946
T1_10,2,0.3353275296083989,0.5,6.763876438140869
T1_10,3,0.307034604613395,0.8906213060887729,6.5749664306640625
T1_10,4,0.35335896293370367,0.5552809165895392,6.814572811126709
T1_11,1,0.04731601393661066,0.55,0.12938973307609558
T1_11,2,0.3353275296083989,0.5,6.5249152183532715
T1_11,3,0.307034604613395,0.8906213060887729,6.442077159881592
T1_11,4,0.35335896293370367,0.5552809165895392,6.535608291625977
T1_12,1,0.04731601393661066,0.55,1.426795244216919
T1_12,2,0.3353275296083989,0.5,5.730105400085449
T1_12,3,0.307034604613395,0.8906213060887729,5.739095211029053
T1_12,4,0.35335896293370367,0.5552809165895392,5.732620716094971
T1_13,1,0.04731601393661066,0.55,2.369917869567871
T1_13,2,0.3353275296083989,0.5,4.802242279052734
T1_13,3,0.307034604613395,0.8906213060887729,4.795537948608398
T1_13,4,0.35335896293370367,0.5552809165895392,4.799649238586426
T1_14,1,0.04731601393661066,0.55,2.5809359550476074
T1_14,2,0.3353275296083989,0.5,3.621201276779175
T1_14,3,0.307034604613395,0.8906213060887729,3.614624261856079
T1_14,4,0.35335896293370367,0.5552809165895392,3.620648145675659
