label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,9.31787109375
T1_1,2,0.022,5.0,6.391071796417236
T1_1,3,0.032,5.0,7.4606122970581055
T1_1,4,0.045,5.0,8.923611640930176
T1_1,5,0.065,5.0,8.28215217590332
T1_1,6,0.1,5.0,5.0644731521606445
T1_1,7,0.15,5.0,6.36559534072876
T1_1,8,0.22,5.0,5.778697967529297
T1_1,9,0.35,5.0,3.6986937522888184
T1_1,10,0.55,5.0,3.7324671745300293
T1_1,11,0.85,5.0,1.5437654256820679
T1_1,12,1.3,5.0,1.8806244134902954
T1_1,13,2.0,5.0,3.0510952472686768
T1_1,14,2.8,5.0,5.573420524597168
T1_2,1,0.015,5.0,9.5166015625
T1_2,2,0.022,5.0,8.804978370666504
T1_2,3,0.032,5.0,8.448700904846191
T1_2,4,0.045,5.0,7.208824634552002
T1_2,5,0.065,5.0,6.962177276611328
T1_2,6,0.1,5.0,8.305590629577637
T1_2,7,0.15,5.0,5.979002475738525
T1_2,8,0.22,5.0,5.754396438598633
T1_2,9,0.35,5.0,4.932413578033447
T1_2,10,0.55,5.0,3.508836269378662
T1_2,11,0.85,5.0,0.16228896379470825
T1_2,12,1.3,5.0,2.575450897216797
T1_2,13,2.0,5.0,4.014160633087158
T1_2,14,2.8,5.0,7.292405605316162
T1_3,1,0.015,5.0,9.305609703063965
T1_3,2,0.022,5.0,8.165350914001465
T1_3,3,0.032,5.0,7.865885257720947
T1_3,4,0.045,5.0,7.293672561645508
T1_3,5,0.065,5.0,7.802905082702637
T1_3,6,0.1,5.0,6.876525402069092
T1_3,7,0.15,5.0,7.287594795227051
T1_3,8,0.22,5.0,4.752766132354736
T1_3,9,0.35,5.0,3.0617451667785645
T1_3,10,0.55,5.0,0.8830339908599854
T1_3,11,0.85,5.0,1.599111795425415
T1_3,12,1.3,5.0,4.234020709991455
T1_3,13,2.0,5.0,5.859279632568359
T1_3,14,2.8,5.0,7.453218936920166
T1_4,1,0.015,5.0,7.763095855712891
T1_4,2,0.022,5.0,8.67545223236084
T1_4,3,0.032,5.0,6.80337381362915
T1_4,4,0.045,5.0,7.639632225036621
T1_4,5,0.065,5.0,7.613882541656494
T1_4,6,0.1,5.0,5.71535062789917
T1_4,7,0.15,5.0,3.8254613876342773
T1_4,8,0.22,5.0,3.807076930999756
T1_4,9,0.35,5.0,1.7801001071929932
T1_4,10,0.55,5.0,0.7150598168373108
T1_4,11,0.85,5.0,4.282195568084717
T1_4,12,1.3,5.0,6.743700981140137
T1_4,13,2.0,5.0,8.109527587890625
T1_4,14,2.8,5.0,8.696624755859375
T1_5,1,0.015,5.0,7.780098915100098
T1_5,2,0.022,5.0,8.995373725891113
T1_5,3,0.032,5.0,7.398004531860352
T1_5,4,0.045,5.0,7.709369659423828
T1_5,5,0.065,5.0,7.695838451385498
T1_5,6,0.1,5.0,6.394587516784668
T1_5,7,0.15,5.0,5.140076637268066
T1_5,8,0.22,5.0,2.541088819503784
T1_5,9,0.35,5.0,1.099351406097412
T1_5,10,0.55,5.0,3.009605646133423
T1_5,11,0.85,5.0,5.575416564941406
T1_5,12,1.3,5.0,6.647557735443115
T1_5,13,2.0,5.0,8.19672679901123
T1_5,14,2.8,5.0,8.017745971679688
T1_6,1,0.015,5.0,6.457192420959473
T1_6,2,0.022,5.0,5.978295803070068
T1_6,3,0.032,5.0,6.710489273071289
T1_6,4,0.045,5.0,6.960798263549805
T1_6,5,0.065,5.0,4.968903541564941
T1_6,6,0.1,5.0,4.68626594543457
T1_6,7,0.15,5.0,5.121253967285156
T1_6,8,0.22,5.0,4.539892196655273
T1_6,9,0.35,5.0,5.269377708435059
T1_6,10,0.55,5.0,6.337998390197754
T1_6,11,0.85,5.0,7.361928462982178
T1_6,12,1.3,5.0,8.332831382751465
T1_6,13,2.0,5.0,8.134448051452637
T1_6,14,2.8,5.0,7.296371936798096
T1_7,1,0.015,5.0,8.205281257629395
T1_7,2,0.022,5.0,7.666332721710205
T1_7,3,0.032,5.0,7.2858805656433105
T1_7,4,0.045,5.0,5.747309684753418
T1_7,5,0.065,5.0,6.283407688140869
T1_7,6,0.1,5.0,3.4508748054504395
T1_7,7,0.15,5.0,1.9272416830062866
T1_7,8,0.22,5.0,1.5722565650939941
T1_7,9,0.35,5.0,3.5455901622772217
T1_7,10,0.55,5.0,6.577118396759033
T1_7,11,0.85,5.0,8.524653434753418
T1_7,12,1.3,5.0,10.063652992248535
T1_7,13,2.0,5.0,9.922994613647461
T1_7,14,2.8,5.0,8.490067481994629
T1_8,1,0.015,5.0,6.943315505981445
T1_8,2,0.022,5.0,5.815503120422363
T1_8,3,0.032,5.0,6.167135715484619
T1_8,4,0.045,5.0,3.702672004699707
T1_8,5,0.065,5.0,3.8699231147766113
T1_8,6,0.1,5.0,1.3313230276107788
T1_8,7,0.15,5.0,0.44575512409210205
T1_8,8,0.22,5.0,2.041346788406372
T1_8,9,0.35,5.0,6.071407318115234
T1_8,10,0.55,5.0,6.360817909240723
T1_8,11,0.85,5.0,8.008923530578613
T1_8,12,1.3,5.0,8.20551872253418
T1_8,13,2.0,5.0,7.1998610496521
T1_8,14,2.8,5.0,7.981602191925049
T1_9,1,0.015,5.0,6.29107141494751
T1_9,2,0.022,5.0,5.309420108795166
T1_9,3,0.032,5.0,5.025561332702637
T1_9,4,0.045,5.0,4.615715026855469
T1_9,5,0.065,5.0,2.4784023761749268
T1_9,6,0.1,5.0,1.7352311611175537
T1_9,7,0.15,5.0,2.8741629123687744
T1_9,8,0.22,5.0,4.549102783203125
T1_9,9,0.35,5.0,6.545145511627197
T1_9,10,0.55,5.0,9.212193489074707
T1_9,11,0.85,5.0,8.111842155456543
T1_9,12,1.3,5.0,7.591227054595947
T1_9,13,2.0,5.0,8.362537384033203
T1_9,14,2.8,5.0,8.125445365905762
T1_10,1,0.015,5.0,5.177074432373047
T1_10,2,0.022,5.0,5.736983776092529
T1_10,3,0.032,5.0,3.245185136795044
T1_10,4,0.045,5.0,1.6931517124176025
T1_10,5,0.065,5.0,0.6270086765289307
T1_10,6,0.1,5.0,1.4111418724060059
T1_10,7,0.15,5.0,5.2674713134765625
T1_10,8,0.22,5.0,7.035684108734131
T1_10,9,0.35,5.0,6.435379981994629
T1_10,10,0.55,5.0,7.472405433654785
T1_10,11,0.85,5.0,6.9436354637146
T1_10,12,1.3,5.0,8.657654762268066
T1_10,13,2.0,5.0,7.401264190673828
T1_10,14,2.8,5.0,8.409058570861816
T1_11,1,0.015,5.0,4.289221286773682
T1_11,2,0.022,5.0,3.2141408920288086
T1_11,3,0.032,5.0,1.6793090105056763
T1_11,4,0.045,5.0,1.175093173980713
T1_11,5,0.065,5.0,1.0672838687896729
T1_11,6,0.1,5.0,4.893748760223389
T1_11,7,0.15,5.0,5.711397171020508
T1_11,8,0.22,5.0,6.578072547912598
T1_11,9,0.35,5.0,5.629781246185303
T1_11,10,0.55,5.0,7.177525997161865
T1_11,11,0.85,5.0,6.783693313598633
T1_11,12,1.3,5.0,5.641323089599609
T1_11,13,2.0,5.0,8.374404907226562
T1_11,14,2.8,5.0,5.687883377075195
T1_12,1,0.015,5.0,1.0242810249328613
