label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,10.749691009521484
T1_1,2,0.022,5.0,5.737669944763184
T1_1,3,0.032,5.0,10.548188209533691
T1_1,4,0.045,5.0,11.177057266235352
T1_1,5,0.065,5.0,14.08696460723877
T1_1,6,0.1,5.0,10.372751235961914
T1_1,7,0.15,5.0,5.866699695587158
T1_1,8,0.22,5.0,6.716345310211182
T1_1,9,0.35,5.0,13.479040145874023
T1_1,10,0.55,5.0,5.657388210296631
T1_1,11,0.85,5.0,13.529293060302734
T1_1,12,1.3,5.0,4.391988277435303
T1_1,13,2.0,5.0,5.0317463874816895
T1_1,14,2.8,5.0,2.610995292663574
T1_2,1,0.015,5.0,8.695496559143066
T1_2,2,0.022,5.0,16.306419372558594
T1_2,3,0.032,5.0,14.656295776367188
T1_2,4,0.045,5.0,13.781496047973633
T1_2,5,0.065,5.0,19.8768253326416
T1_2,6,0.1,5.0,9.7972412109375
T1_2,7,0.15,5.0,6.954821586608887
T1_2,8,0.22,5.0,5.401751518249512
T1_2,9,0.35,5.0,2.667703628540039
T1_2,10,0.55,5.0,2.001631021499634
T1_2,11,0.85,5.0,5.235032081604004
T1_2,12,1.3,5.0,12.876774787902832
T1_2,13,2.0,5.0,10.43541431427002
T1_2,14,2.8,5.0,4.559540748596191
T1_3,1,0.015,5.0,12.457950592041016
T1_3,2,0.022,5.0,8.379796028137207
T1_3,3,0.032,5.0,6.855008602142334
T1_3,4,0.045,5.0,11.620234489440918
T1_3,5,0.065,5.0,18.621992111206055
T1_3,6,0.1,5.0,2.318176031112671
T1_3,7,0.15,5.0,7.226470470428467
T1_3,8,0.22,5.0,12.868732452392578
T1_3,9,0.35,5.0,7.789295196533203
T1_3,10,0.55,5.0,6.479678153991699
T1_3,11,0.85,5.0,4.137103080749512
T1_3,12,1.3,5.0,3.9786977767944336
T1_3,13,2.0,5.0,5.89820671081543
T1_3,14,2.8,5.0,11.100898742675781
T1_4,1,0.015,5.0,7.772486209869385
T1_4,2,0.022,5.0,7.869201183319092
T1_4,3,0.032,5.0,12.306962966918945
T1_4,4,0.045,5.0,12.581815719604492
T1_4,5,0.065,5.0,8.848088264465332
T1_4,6,0.1,5.0,5.094736576080322
T1_4,7,0.15,5.0,9.227310180664062
T1_4,8,0.22,5.0,3.5935981273651123
T1_4,9,0.35,5.0,2.9034476280212402
T1_4,10,0.55,5.0,3.341651201248169
T1_4,11,0.85,5.0,4.808880805969238
T1_4,12,1.3,5.0,8.37405776977539
T1_4,13,2.0,5.0,13.82034969329834
T1_4,14,2.8,5.0,12.021674156188965
T1_5,1,0.015,5.0,22.343997955322266
T1_5,2,0.022,5.0,13.457452774047852
T1_5,3,0.032,5.0,3.9174282550811768
T1_5,4,0.045,5.0,4.690919876098633
T1_5,5,0.065,5.0,8.488362312316895
T1_5,6,0.1,5.0,3.1993327140808105
T1_5,7,0.15,5.0,9.189780235290527
T1_5,8,0.22,5.0,6.695380687713623
T1_5,9,0.35,5.0,8.4357328414917
T1_5,10,0.55,5.0,7.5998311042785645
T1_5,11,0.85,5.0,12.403055191040039
T1_5,12,1.3,5.0,9.47386646270752
T1_5,13,2.0,5.0,16.259048461914062
T1_5,14,2.8,5.0,7.111147880554199
T1_6,1,0.015,5.0,11.257080078125
T1_6,2,0.022,5.0,9.162429809570312
T1_6,3,0.032,5.0,10.262866973876953
T1_6,4,0.045,5.0,5.831844329833984
T1_6,5,0.065,5.0,8.66080093383789
T1_6,6,0.1,5.0,6.976724147796631
T1_6,7,0.15,5.0,1.2215237617492676
T1_6,8,0.22,5.0,4.490227699279785
T1_6,9,0.35,5.0,10.588796615600586
T1_6,10,0.55,5.0,6.7912702560424805
T1_6,11,0.85,5.0,8.84190559387207
T1_6,12,1.3,5.0,5.167503833770752
T1_6,13,2.0,5.0,6.403696060180664
T1_6,14,2.8,5.0,10.468031883239746
T1_7,1,0.015,5.0,4.678124904632568
T1_7,2,0.022,5.0,8.012808799743652
T1_7,3,0.032,5.0,4.09959602355957
T1_7,4,0.045,5.0,7.549262046813965
T1_7,5,0.065,5.0,7.6840314865112305
T1_7,6,0.1,5.0,4.9639506340026855
T1_7,7,0.15,5.0,6.952353477478027
T1_7,8,0.22,5.0,1.2796969413757324
T1_7,9,0.35,5.0,12.963335990905762
T1_7,10,0.55,5.0,7.187842845916748
T1_7,11,0.85,5.0,10.83622932434082
T1_7,12,1.3,5.0,13.03957748413086
T1_7,13,2.0,5.0,12.64398193359375
T1_7,14,2.8,5.0,9.640275001525879
T1_8,1,0.015,5.0,4.121540546417236
T1_8,2,0.022,5.0,8.029964447021484
T1_8,3,0.032,5.0,7.044196605682373
T1_8,4,0.045,5.0,3.207805633544922
T1_8,5,0.065,5.0,2.7226693630218506
T1_8,6,0.1,5.0,6.511978626251221
T1_8,7,0.15,5.0,3.8533904552459717
T1_8,8,0.22,5.0,3.0950558185577393
T1_8,9,0.35,5.0,14.42395305633545
T1_8,10,0.55,5.0,5.3478217124938965
T1_8,11,0.85,5.0,13.519708633422852
T1_8,12,1.3,5.0,5.785704612731934
T1_8,13,2.0,5.0,8.90590763092041
T1_8,14,2.8,5.0,4.76416540145874
T1_9,1,0.015,5.0,19.825077056884766
T1_9,2,0.022,5.0,11.885361671447754
T1_9,3,0.032,5.0,11.339863777160645
T1_9,4,0.045,5.0,5.204224109649658
T1_9,5,0.065,5.0,10.983759880065918
T1_9,6,0.1,5.0,7.459146499633789
T1_9,7,0.15,5.0,9.524774551391602
T1_9,8,0.22,5.0,3.3046300411224365
T1_9,9,0.35,5.0,8.975724220275879
T1_9,10,0.55,5.0,8.628177642822266
T1_9,11,0.85,5.0,10.224532127380371
T1_9,12,1.3,5.0,7.051380634307861
T1_9,13,2.0,5.0,12.189580917358398
T1_9,14,2.8,5.0,9.887472152709961
T1_10,1,0.015,5.0,6.56550407409668
T1_10,2,0.022,5.0,12.969897270202637
T1_10,3,0.032,5.0,5.33215856552124
T1_10,4,0.045,5.0,1.617612361907959
T1_10,5,0.065,5.0,0.8014262318611145
T1_10,6,0.1,5.0,6.650928497314453
