label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,38.183372497558594
T1_1,2,0.022,5.0,37.875370025634766
T1_1,3,0.032,5.0,37.43669128417969
T1_1,4,0.045,5.0,36.869197845458984
T1_1,5,0.065,5.0,36.00291061401367
T1_1,6,0.1,5.0,34.507835388183594
T1_1,7,0.15,5.0,32.41874313354492
T1_1,8,0.22,5.0,29.585411071777344
T1_1,9,0.35,5.0,24.598297119140625
T1_1,10,0.55,5.0,17.579696655273438
T1_1,11,0.85,5.0,8.37580680847168
T1_1,12,1.3,5.0,2.939328908920288
T1_1,13,2.0,5.0,15.921637535095215
T1_1,14,2.8,5.0,25.895801544189453
T1_2,1,0.015,5.0,38.706809997558594
T1_2,2,0.022,5.0,38.32025146484375
T1_2,3,0.032,5.0,37.77000045776367
T1_2,4,0.045,5.0,37.05850601196289
T1_2,5,0.065,5.0,35.97319412231445
T1_2,6,0.1,5.0,34.10328674316406
T1_2,7,0.15,5.0,31.50054168701172
T1_2,8,0.22,5.0,27.99557113647461
T1_2,9,0.35,5.0,21.910663604736328
T1_2,10,0.55,5.0,13.557683944702148
T1_2,11,0.85,5.0,3.0300023555755615
T1_2,12,1.3,5.0,9.14486312866211
T1_2,13,2.0,5.0,21.88248634338379
T1_2,14,2.8,5.0,30.526941299438477
T1_3,1,0.015,5.0,42.23628234863281
T1_3,2,0.022,5.0,41.64823913574219
T1_3,3,0.032,5.0,40.81849670410156
T1_3,4,0.045,5.0,39.75519943237305
T1_3,5,0.065,5.0,38.1480827331543
T1_3,6,0.1,5.0,35.40843200683594
T1_3,7,0.15,5.0,31.64295196533203
T1_3,8,0.22,5.0,26.653865814208984
T1_3,9,0.35,5.0,18.220876693725586
T1_3,10,0.55,5.0,7.147548675537109
T1_3,11,0.85,5.0,5.896641254425049
T1_3,12,1.3,5.0,19.520824432373047
T1_3,13,2.0,5.0,31.74334716796875
T1_3,14,2.8,5.0,38.499629974365234
T1_4,1,0.015,5.0,41.74922180175781
T1_4,2,0.022,5.0,40.958213806152344
T1_4,3,0.032,5.0,39.84309005737305
T1_4,4,0.045,5.0,38.418067932128906
T1_4,5,0.065,5.0,36.27654266357422
T1_4,6,0.1,5.0,32.666385650634766
T1_4,7,0.15,5.0,27.79062271118164
T1_4,8,0.22,5.0,21.479808807373047
T1_4,9,0.35,5.0,11.193203926086426
T1_4,10,0.55,5.0,1.5604826211929321
T1_4,11,0.85,5.0,15.351140975952148
T1_4,12,1.3,5.0,28.039335250854492
T1_4,13,2.0,5.0,37.44211959838867
T1_4,14,2.8,5.0,41.463951110839844
