label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,16.192644119262695
T1_1,2,0.022,5.0,16.05645179748535
T1_1,3,0.032,5.0,15.862853050231934
T1_1,4,0.045,5.0,15.612835884094238
T1_1,5,0.065,5.0,15.231776237487793
T1_1,6,0.1,5.0,14.575187683105469
T1_1,7,0.15,5.0,13.659393310546875
T1_1,8,0.22,5.0,12.419998168945312
T1_1,9,0.35,5.0,10.245272636413574
T1_1,10,0.55,5.0,7.204370021820068
T1_1,11,0.85,5.0,3.314893960952759
T1_1,12,1.3,5.0,2.1083128452301025
T1_1,13,2.0,5.0,7.341292858123779
T1_1,14,2.8,5.0,11.400362968444824
T1_2,1,0.015,5.0,18.423830032348633
T1_2,2,0.022,5.0,18.232942581176758
T1_2,3,0.032,5.0,17.961275100708008
T1_2,4,0.045,5.0,17.609973907470703
T1_2,5,0.065,5.0,17.07389259338379
T1_2,6,0.1,5.0,16.149465560913086
T1_2,7,0.15,5.0,14.861456871032715
T1_2,8,0.22,5.0,13.126214027404785
T1_2,9,0.35,5.0,10.116535186767578
T1_2,10,0.55,5.0,5.998476028442383
T1_2,11,0.85,5.0,0.8409188389778137
T1_2,12,1.3,5.0,5.053258419036865
T1_2,13,2.0,5.0,11.084230422973633
T1_2,14,2.8,5.0,15.018465995788574
T1_3,1,0.015,5.0,18.639007568359375
T1_3,2,0.022,5.0,18.36245346069336
T1_3,3,0.032,5.0,17.97237205505371
T1_3,4,0.045,5.0,17.47270965576172
T1_3,5,0.065,5.0,16.7178897857666
T1_3,6,0.1,5.0,15.43220043182373
T1_3,7,0.15,5.0,13.667281150817871
T1_3,8,0.22,5.0,11.333032608032227
T1_3,9,0.35,5.0,7.399757385253906
T1_3,10,0.55,5.0,2.264244318008423
T1_3,11,0.85,5.0,3.724815607070923
T1_3,12,1.3,5.0,9.860331535339355
T1_3,13,2.0,5.0,15.139937400817871
T1_3,14,2.8,5.0,17.804744720458984
T1_4,1,0.015,5.0,18.325477600097656
T1_4,2,0.022,5.0,17.94573974609375
T1_4,3,0.032,5.0,17.41077995300293
T1_4,4,0.045,5.0,16.72774887084961
T1_4,5,0.065,5.0,15.702315330505371
T1_4,6,0.1,5.0,13.976123809814453
T1_4,7,0.15,5.0,11.64931583404541
T1_4,8,0.22,5.0,8.645829200744629
T1_4,9,0.35,5.0,3.7739994525909424
T1_4,10,0.55,5.0,2.2095091342926025
