label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,7.955877780914307
T1_1,2,0.022,5.0,7.89193868637085
T1_1,3,0.032,5.0,7.801005840301514
T1_1,4,0.045,5.0,7.683493137359619
T1_1,5,0.065,5.0,7.50422477722168
T1_1,6,0.1,5.0,7.194873332977295
T1_1,7,0.15,5.0,6.762444019317627
T1_1,8,0.22,5.0,6.175476551055908
T1_1,9,0.35,5.0,5.140506744384766
T1_1,10,0.55,5.0,3.6798243522644043
T1_1,11,0.85,5.0,1.759046196937561
T1_1,12,1.3,5.0,0.615009069442749
T1_1,13,2.0,5.0,3.3301291465759277
T1_1,14,2.8,5.0,5.4180145263671875
T1_2,1,0.015,5.0,8.515312194824219
T1_2,2,0.022,5.0,8.426605224609375
T1_2,3,0.032,5.0,8.30091381072998
T1_2,4,0.045,5.0,8.139263153076172
T1_2,5,0.065,5.0,7.894241809844971
T1_2,6,0.1,5.0,7.475476264953613
T1_2,7,0.15,5.0,6.897538185119629
T1_2,8,0.22,5.0,6.124759674072266
T1_2,9,0.35,5.0,4.790036678314209
T1_2,10,0.55,5.0,2.9613006114959717
T1_2,11,0.85,5.0,0.655371367931366
T1_2,12,1.3,5.0,2.0174152851104736
T1_2,13,2.0,5.0,4.816386699676514
T1_2,14,2.8,5.0,6.7178120613098145
T1_3,1,0.015,5.0,8.555632591247559
T1_3,2,0.022,5.0,8.44073486328125
T1_3,3,0.032,5.0,8.277718544006348
T1_3,4,0.045,5.0,8.067500114440918
T1_3,5,0.065,5.0,7.7475199699401855
T1_3,6,0.1,5.0,7.197693824768066
T1_3,7,0.15,5.0,6.4370574951171875
T1_3,8,0.22,5.0,5.426093578338623
T1_3,9,0.35,5.0,3.717344284057617
T1_3,10,0.55,5.0,1.4772861003875732
T1_3,11,0.85,5.0,1.1645355224609375
T1_3,12,1.3,5.0,3.923247814178467
T1_3,13,2.0,5.0,6.404129981994629
T1_3,14,2.8,5.0,7.7786030769348145
T1_4,1,0.015,5.0,8.466010093688965
T1_4,2,0.022,5.0,8.310439109802246
T1_4,3,0.032,5.0,8.089594841003418
T1_4,4,0.045,5.0,7.805221080780029
T1_4,5,0.065,5.0,7.374386787414551
T1_4,6,0.1,5.0,6.641994953155518
T1_4,7,0.15,5.0,5.647014141082764
T1_4,8,0.22,5.0,4.356815814971924
T1_4,9,0.35,5.0,2.257044553756714
T1_4,10,0.55,5.0,0.341012567281723
T1_4,11,0.85,5.0,3.135867118835449
T1_4,12,1.3,5.0,5.7019500732421875
T1_4,13,2.0,5.0,7.596958637237549
T1_4,14,2.8,5.0,8.403054237365723
T1_5,1,0.015,5.0,8.253511428833008
T1_5,2,0.022,5.0,8.028359413146973
T1_5,3,0.032,5.0,7.711880207061768
T1_5,4,0.045,5.0,7.309377193450928
T1_5,5,0.065,5.0,6.709291458129883
T1_5,6,0.1,5.0,5.712650299072266
T1_5,7,0.15,5.0,4.399408340454102
T1_5,8,0.22,5.0,2.7589261531829834
T1_5,9,0.35,5.0,0.23699992895126343
T1_5,10,0.55,5.0,2.6089205741882324
T1_5,11,0.85,5.0,5.2808332443237305
T1_5,12,1.3,5.0,7.278165817260742
T1_5,13,2.0,5.0,8.363677978515625
T1_5,14,2.8,5.0,8.667086601257324
T1_6,1,0.015,5.0,7.783298015594482
T1_6,2,0.022,5.0,7.489030838012695
T1_6,3,0.032,5.0,7.077888011932373
T1_6,4,0.045,5.0,6.55921745300293
T1_6,5,0.065,5.0,5.794885158538818
T1_6,6,0.1,5.0,4.549712657928467
T1_6,7,0.15,5.0,2.957242727279663
T1_6,8,0.22,5.0,1.0515470504760742
T1_6,9,0.35,5.0,1.6954795122146606
T1_6,10,0.55,5.0,4.452478408813477
T1_6,11,0.85,5.0,6.636315822601318
T1_6,12,1.3,5.0,7.902070045471191
T1_6,13,2.0,5.0,8.367810249328613
T1_6,14,2.8,5.0,8.437093734741211
T1_7,1,0.015,5.0,7.508152008056641
T1_7,2,0.022,5.0,7.105899333953857
T1_7,3,0.032,5.0,6.548740863800049
T1_7,4,0.045,5.0,5.854126930236816
T1_7,5,0.065,5.0,4.847738742828369
T1_7,6,0.1,5.0,3.253990888595581
T1_7,7,0.15,5.0,1.3033080101013184
T1_7,8,0.22,5.0,0.8929015398025513
T1_7,9,0.35,5.0,3.7394020557403564
T1_7,10,0.55,5.0,6.162837028503418
T1_7,11,0.85,5.0,7.658078670501709
T1_7,12,1.3,5.0,8.262513160705566
T1_7,13,2.0,5.0,8.396821975708008
T1_7,14,2.8,5.0,8.408123970031738
T1_8,1,0.015,5.0,6.912603855133057
T1_8,2,0.022,5.0,6.388961315155029
T1_8,3,0.032,5.0,5.670959949493408
T1_8,4,0.045,5.0,4.788644790649414
T1_8,5,0.065,5.0,3.5378811359405518
T1_8,6,0.1,5.0,1.630965232849121
T1_8,7,0.15,5.0,0.5673494935035706
T1_8,8,0.22,5.0,2.834059715270996
T1_8,9,0.35,5.0,5.388319969177246
T1_8,10,0.55,5.0,7.117443561553955
T1_8,11,0.85,5.0,7.8790764808654785
T1_8,12,1.3,5.0,8.071000099182129
T1_8,13,2.0,5.0,8.095902442932129
T1_8,14,2.8,5.0,8.098589897155762
T1_9,1,0.015,5.0,6.158426284790039
T1_9,2,0.022,5.0,5.477005958557129
T1_9,3,0.032,5.0,4.559247016906738
T1_9,4,0.045,5.0,3.458789110183716
T1_9,5,0.065,5.0,1.9529920816421509
T1_9,6,0.1,5.0,0.21677327156066895
T1_9,7,0.15,5.0,2.4938108921051025
T1_9,8,0.22,5.0,4.5698089599609375
T1_9,9,0.35,5.0,6.485617637634277
T1_9,10,0.55,5.0,7.42368745803833
T1_9,11,0.85,5.0,7.683522701263428
T1_9,12,1.3,5.0,7.722518444061279
T1_9,13,2.0,5.0,7.731042385101318
T1_9,14,2.8,5.0,7.735072135925293
T1_10,1,0.015,5.0,5.090584754943848
T1_10,2,0.022,5.0,4.216932773590088
T1_10,3,0.032,5.0,3.075784206390381
T1_10,4,0.045,5.0,1.7616795301437378
T1_10,5,0.065,5.0,0.0745224803686142
T1_10,6,0.1,5.0,2.1738994121551514
T1_10,7,0.15,5.0,4.222963809967041
T1_10,8,0.22,5.0,5.762011528015137
T1_10,9,0.35,5.0,6.8119611740112305
T1_10,10,0.55,5.0,7.126464366912842
T1_10,11,0.85,5.0,7.171838760375977
T1_10,12,1.3,5.0,7.180457592010498
T1_10,13,2.0,5.0,7.188643455505371
T1_10,14,2.8,5.0,7.194430351257324
T1_11,1,0.015,5.0,3.8754360675811768
T1_11,2,0.022,5.0,2.828019618988037
T1_11,3,0.032,5.0,1.511812686920166
T1_11,4,0.045,5.0,0.07270804047584534
T1_11,5,0.065,5.0,1.65927255153656
T1_11,6,0.1,5.0,3.6814355850219727
T1_11,7,0.15,5.0,5.2289299964904785
T1_11,8,0.22,5.0,6.1303486824035645
T1_11,9,0.35,5.0,6.542159080505371
T1_11,10,0.55,5.0,6.596601486206055
T1_11,11,0.85,5.0,6.5856828689575195
T1_11,12,1.3,5.0,6.570837020874023
T1_11,13,2.0,5.0,6.557455539703369
T1_11,14,2.8,5.0,6.549986362457275
T1_12,1,0.015,5.0,2.611422538757324
T1_12,2,0.022,5.0,1.4615895748138428
T1_12,3,0.032,5.0,0.08560261875391006
T1_12,4,0.045,5.0,1.3225083351135254
T1_12,5,0.065,5.0,2.8622756004333496
T1_12,6,0.1,5.0,4.399595260620117
T1_12,7,0.15,5.0,5.320156574249268
T1_12,8,0.22,5.0,5.697799205780029
T1_12,9,0.35,5.0,5.792453765869141
T1_12,10,0.55,5.0,5.7841596603393555
T1_12,11,0.85,5.0,5.7684502601623535
T1_12,12,1.3,5.0,5.754446506500244
T1_12,13,2.0,5.0,5.744166851043701
T1_12,14,2.8,5.0,5.739724159240723
T1_13,1,0.015,5.0,1.3756937980651855
T1_13,2,0.022,5.0,0.23202690482139587
T1_13,3,0.032,5.0,1.0471605062484741
T1_13,4,0.045,5.0,2.241140842437744
T1_13,5,0.065,5.0,3.3877480030059814
T1_13,6,0.1,5.0,4.314697742462158
T1_13,7,0.15,5.0,4.711905002593994
T1_13,8,0.22,5.0,4.808857440948486
T1_13,9,0.35,5.0,4.809943199157715
T1_13,10,0.55,5.0,4.798407077789307
T1_13,11,0.85,5.0,4.791232109069824
T1_13,12,1.3,5.0,4.787293910980225
T1_13,13,2.0,5.0,4.784955024719238
T1_13,14,2.8,5.0,4.783935546875
T1_14,1,0.015,5.0,0.2556881308555603
T1_14,2,0.022,5.0,0.7212880849838257
T1_14,3,0.032,5.0,1.706931471824646
T1_14,4,0.045,5.0,2.5080983638763428
T1_14,5,0.065,5.0,3.142843723297119
T1_14,6,0.1,5.0,3.5225512981414795
T1_14,7,0.15,5.0,3.6255805492401123
T1_14,8,0.22,5.0,3.6372880935668945
T1_14,9,0.35,5.0,3.631042957305908
T1_14,10,0.55,5.0,3.624318838119507
T1_14,11,0.85,5.0,3.619894027709961
T1_14,12,1.3,5.0,3.6164705753326416
T1_14,13,2.0,5.0,3.613525629043579
T1_14,14,2.8,5.0,3.611849308013916
