label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,37.835575103759766
T1_1,2,0.022,5.0,37.530250549316406
T1_1,3,0.032,5.0,37.09541702270508
T1_1,4,0.045,5.0,36.53288650512695
T1_1,5,0.065,5.0,35.6741828918457
T1_1,6,0.1,5.0,34.192195892333984
T1_1,7,0.15,5.0,32.12141799926758
T1_1,8,0.22,5.0,29.312965393066406
T1_1,9,0.35,5.0,24.369808197021484
T1_1,10,0.55,5.0,17.413461685180664
T1_1,11,0.85,5.0,8.29160213470459
T1_1,12,1.3,5.0,2.9123215675354004
T1_1,13,2.0,5.0,15.77660846710205
T1_1,14,2.8,5.0,25.654258728027344
T1_2,1,0.015,5.0,38.696815490722656
T1_2,2,0.022,5.0,38.31034469604492
T1_2,3,0.032,5.0,37.76020812988281
T1_2,4,0.045,5.0,37.04887390136719
T1_2,5,0.065,5.0,35.963809967041016
T1_2,6,0.1,5.0,34.09434509277344
T1_2,7,0.15,5.0,31.492229461669922
T1_2,8,0.22,5.0,27.98814582824707
T1_2,9,0.35,5.0,21.904823303222656
T1_2,10,0.55,5.0,13.554068565368652
T1_2,11,0.85,5.0,3.0292224884033203
T1_2,12,1.3,5.0,9.1422758102417
T1_2,13,2.0,5.0,21.876493453979492
T1_2,14,2.8,5.0,30.51874351501465
T1_3,1,0.015,5.0,42.21963882446289
T1_3,2,0.022,5.0,41.631805419921875
T1_3,3,0.032,5.0,40.802364349365234
T1_3,4,0.045,5.0,39.73945999145508
T1_3,5,0.065,5.0,38.1329345703125
T1_3,6,0.1,5.0,35.3942756652832
T1_3,7,0.15,5.0,31.63014793395996
T1_3,8,0.22,5.0,26.642847061157227
T1_3,9,0.35,5.0,18.21286964416504
T1_3,10,0.55,5.0,7.143534183502197
T1_3,11,0.85,5.0,5.8958210945129395
T1_3,12,1.3,5.0,19.514745712280273
T1_3,13,2.0,5.0,31.732229232788086
T1_3,14,2.8,5.0,38.48545837402344
T1_4,1,0.015,5.0,41.734214782714844
T1_4,2,0.022,5.0,40.94346237182617
T1_4,3,0.032,5.0,39.828704833984375
T1_4,4,0.045,5.0,38.40415954589844
T1_4,5,0.065,5.0,36.26333999633789
T1_4,6,0.1,5.0,32.65437316894531
T1_4,7,0.15,5.0,27.780221939086914
T1_4,8,0.22,5.0,21.47151756286621
T1_4,9,0.35,5.0,11.188382148742676
T1_4,10,0.55,5.0,1.5609440803527832
T1_4,11,0.85,5.0,15.346810340881348
T1_4,12,1.3,5.0,28.030452728271484
T1_4,13,2.0,5.0,37.429649353027344
T1_4,14,2.8,5.0,41.44975662231445
T1_5,1,0.015,5.0,37.44754409790039
T1_5,2,0.022,5.0,36.43096160888672
T1_5,3,0.032,5.0,35.002593994140625
T1_5,4,0.045,5.0,33.18659973144531
T1_5,5,0.065,5.0,30.479955673217773
T1_5,6,0.1,5.0,25.985044479370117
T1_5,7,0.15,5.0,20.0601863861084
T1_5,8,0.22,5.0,12.652628898620605
T1_5,9,0.35,5.0,1.2452224493026733
T1_5,10,0.55,5.0,11.647669792175293
T1_5,11,0.85,5.0,23.786766052246094
T1_5,12,1.3,5.0,32.89104080200195
T1_5,13,2.0,5.0,37.86762237548828
T1_5,14,2.8,5.0,39.278846740722656
T1_6,1,0.015,5.0,36.51426315307617
T1_6,2,0.022,5.0,35.14474868774414
T1_6,3,0.032,5.0,33.23047637939453
T1_6,4,0.045,5.0,30.814308166503906
T1_6,5,0.065,5.0,27.251537322998047
T1_6,6,0.1,5.0,21.443042755126953
T1_6,7,0.15,5.0,14.008527755737305
T1_6,8,0.22,5.0,5.097317695617676
T1_6,9,0.35,5.0,7.704815864562988
T1_6,10,0.55,5.0,20.61198616027832
T1_6,11,0.85,5.0,30.864322662353516
T1_6,12,1.3,5.0,36.859710693359375
T1_6,13,2.0,5.0,39.14362335205078
T1_6,14,2.8,5.0,39.55329132080078
T1_7,1,0.015,5.0,33.98469543457031
T1_7,2,0.022,5.0,32.14457702636719
T1_7,3,0.032,5.0,29.597719192504883
T1_7,4,0.045,5.0,26.425506591796875
T1_7,5,0.065,5.0,21.835052490234375
T1_7,6,0.1,5.0,14.577608108520508
T1_7,7,0.15,5.0,5.712034225463867
T1_7,8,0.22,5.0,4.24839448928833
T1_7,9,0.35,5.0,17.131879806518555
T1_7,10,0.55,5.0,28.071001052856445
T1_7,11,0.85,5.0,34.793052673339844
T1_7,12,1.3,5.0,37.485225677490234
T1_7,13,2.0,5.0,38.06557083129883
T1_7,14,2.8,5.0,38.10806655883789
T1_8,1,0.015,5.0,33.91032028198242
T1_8,2,0.022,5.0,31.278968811035156
T1_8,3,0.032,5.0,27.682361602783203
T1_8,4,0.045,5.0,23.27789878845215
T1_8,5,0.065,5.0,17.05707550048828
T1_8,6,0.1,5.0,7.610416412353516
T1_8,7,0.15,5.0,3.2320446968078613
T1_8,8,0.22,5.0,14.387179374694824
T1_8,9,0.35,5.0,26.90534782409668
T1_8,10,0.55,5.0,35.324607849121094
T1_8,11,0.85,5.0,38.979305267333984
T1_8,12,1.3,5.0,39.84925079345703
T1_8,13,2.0,5.0,39.921146392822266
T1_8,14,2.8,5.0,39.91353225708008
T1_9,1,0.015,5.0,30.232154846191406
T1_9,2,0.022,5.0,26.846324920654297
T1_9,3,0.032,5.0,22.29682159423828
T1_9,4,0.045,5.0,16.853647232055664
T1_9,5,0.065,5.0,9.419189453125
T1_9,6,0.1,5.0,1.261479139328003
T1_9,7,0.15,5.0,12.498541831970215
T1_9,8,0.22,5.0,22.73707389831543
