label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,40.035823822021484
T1_1,2,0.022,5.0,39.71931838989258
T1_1,3,0.032,5.0,39.268497467041016
T1_1,4,0.045,5.0,38.685203552246094
T1_1,5,0.065,5.0,37.7946891784668
T1_1,6,0.1,5.0,36.257511138916016
T1_1,7,0.15,5.0,34.109100341796875
T1_1,8,0.22,5.0,31.19447135925293
T1_1,9,0.35,5.0,26.06222915649414
T1_1,10,0.55,5.0,18.838237762451172
T1_1,11,0.85,5.0,9.399269104003906
T1_1,12,1.3,5.0,3.100750207901001
T1_1,13,2.0,5.0,16.19416046142578
T1_1,14,2.8,5.0,26.67494010925293
T1_2,1,0.015,5.0,35.99834442138672
T1_2,2,0.022,5.0,35.628150939941406
T1_2,3,0.032,5.0,35.10118103027344
T1_2,4,0.045,5.0,34.419822692871094
T1_2,5,0.065,5.0,33.38056564331055
T1_2,6,0.1,5.0,31.590404510498047
T1_2,7,0.15,5.0,29.099781036376953
T1_2,8,0.22,5.0,25.748350143432617
T1_2,9,0.35,5.0,19.938486099243164
T1_2,10,0.55,5.0,11.984578132629395
T1_2,11,0.85,5.0,2.010042190551758
T1_2,12,1.3,5.0,9.455578804016113
T1_2,13,2.0,5.0,21.28159523010254
T1_2,14,2.8,5.0,29.128921508789062
T1_3,1,0.015,5.0,38.93995666503906
T1_3,2,0.022,5.0,38.37173843383789
T1_3,3,0.032,5.0,37.57022476196289
T1_3,4,0.045,5.0,36.54344940185547
T1_3,5,0.065,5.0,34.99217224121094
T1_3,6,0.1,5.0,32.349281311035156
T1_3,7,0.15,5.0,28.71998405456543
T1_3,8,0.22,5.0,23.91756248474121
T1_3,9,0.35,5.0,15.819175720214844
T1_3,10,0.55,5.0,5.231818675994873
T1_3,11,0.85,5.0,7.1487717628479
T1_3,12,1.3,5.0,19.89855194091797
T1_3,13,2.0,5.0,31.01230812072754
T1_3,14,2.8,5.0,36.79852294921875
T1_4,1,0.015,5.0,38.30817794799805
T1_4,2,0.022,5.0,37.53786087036133
T1_4,3,0.032,5.0,36.452213287353516
T1_4,4,0.045,5.0,35.065338134765625
T1_4,5,0.065,5.0,32.98215103149414
T1_4,6,0.1,5.0,29.473087310791016
T1_4,7,0.15,5.0,24.739599227905273
T1_4,8,0.22,5.0,18.623817443847656
T1_4,9,0.35,5.0,8.687248229980469
T1_4,10,0.55,5.0,3.56461763381958
T1_4,11,0.85,5.0,16.658004760742188
T1_4,12,1.3,5.0,28.433637619018555
T1_4,13,2.0,5.0,36.67898941040039
T1_4,14,2.8,5.0,39.68818283081055
T1_5,1,0.015,5.0,34.3101692199707
T1_5,2,0.022,5.0,33.3121337890625
T1_5,3,0.032,5.0,31.910175323486328
T1_5,4,0.045,5.0,30.12841033935547
T1_5,5,0.065,5.0,27.474117279052734
T1_5,6,0.1,5.0,23.070018768310547
T1_5,7,0.15,5.0,17.273109436035156
T1_5,8,0.22,5.0,10.041184425354004
T1_5,9,0.35,5.0,1.0536341667175293
T1_5,10,0.55,5.0,13.484823226928711
T1_5,11,0.85,5.0,24.99202537536621
T1_5,12,1.3,5.0,33.264217376708984
T1_5,13,2.0,5.0,37.1827392578125
T1_5,14,2.8,5.0,37.667152404785156
T1_6,1,0.015,5.0,38.319801330566406
T1_6,2,0.022,5.0,36.976287841796875
T1_6,3,0.032,5.0,35.10176467895508
T1_6,4,0.045,5.0,32.742454528808594
T1_6,5,0.065,5.0,29.280725479125977
T1_6,6,0.1,5.0,23.702314376831055
T1_6,7,0.15,5.0,16.794635772705078
T1_6,8,0.22,5.0,9.623214721679688
T1_6,9,0.35,5.0,9.946391105651855
T1_6,10,0.55,5.0,20.936363220214844
T1_6,11,0.85,5.0,30.790971755981445
T1_6,12,1.3,5.0,36.75141143798828
T1_6,13,2.0,5.0,39.26543045043945
T1_6,14,2.8,5.0,40.07042694091797
T1_7,1,0.015,5.0,31.287090301513672
T1_7,2,0.022,5.0,29.462665557861328
T1_7,3,0.032,5.0,26.93818473815918
T1_7,4,0.045,5.0,23.795001983642578
T1_7,5,0.065,5.0,19.249052047729492
T1_7,6,0.1,5.0,12.069156646728516
T1_7,7,0.15,5.0,3.316169023513794
T1_7,8,0.22,5.0,6.502140045166016
T1_7,9,0.35,5.0,19.113780975341797
T1_7,10,0.55,5.0,29.657733917236328
T1_7,11,0.85,5.0,35.83470153808594
T1_7,12,1.3,5.0,37.80908203125
T1_7,13,2.0,5.0,37.47784423828125
T1_7,14,2.8,5.0,36.72277069091797
T1_8,1,0.015,5.0,30.625261306762695
T1_8,2,0.022,5.0,28.012958526611328
T1_8,3,0.032,5.0,24.443544387817383
T1_8,4,0.045,5.0,20.07436752319336
T1_8,5,0.065,5.0,13.90768814086914
T1_8,6,0.1,5.0,4.555659770965576
T1_8,7,0.15,5.0,6.155007839202881
T1_8,8,0.22,5.0,17.126741409301758
T1_8,9,0.35,5.0,29.314395904541016
T1_8,10,0.55,5.0,37.25146484375
T1_8,11,0.85,5.0,40.24207305908203
T1_8,12,1.3,5.0,40.23891067504883
T1_8,13,2.0,5.0,39.202640533447266
T1_8,14,2.8,5.0,38.225284576416016
T1_9,1,0.015,5.0,26.799100875854492
T1_9,2,0.022,5.0,23.43290138244629
T1_9,3,0.032,5.0,18.91147232055664
T1_9,4,0.045,5.0,13.504823684692383
T1_9,5,0.065,5.0,6.12662935256958
T1_9,6,0.1,5.0,4.454623699188232
T1_9,7,0.15,5.0,15.554373741149902
T1_9,8,0.22,5.0,25.600929260253906
T1_9,9,0.35,5.0,34.710689544677734
T1_9,10,0.55,5.0,38.82798767089844
T1_9,11,0.85,5.0,39.37601852416992
T1_9,12,1.3,5.0,38.58927536010742
T1_9,13,2.0,5.0,37.40583419799805
T1_9,14,2.8,5.0,36.37495803833008
T1_10,1,0.015,5.0,19.863487243652344
T1_10,2,0.022,5.0,15.904559135437012
T1_10,3,0.032,5.0,10.736458778381348
