label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,40.01994323730469
T1_1,2,0.022,5.0,39.70475769042969
T1_1,3,0.032,5.0,39.25582504272461
T1_1,4,0.045,5.0,38.674983978271484
T1_1,5,0.065,5.0,37.7882080078125
T1_1,6,0.1,5.0,36.25751495361328
T1_1,7,0.15,5.0,34.11822509765625
T1_1,8,0.22,5.0,31.21611213684082
T1_1,9,0.35,5.0,26.10633659362793
T1_1,10,0.55,5.0,18.91494369506836
T1_1,11,0.85,5.0,9.520113945007324
T1_1,12,1.3,5.0,2.966358184814453
T1_1,13,2.0,5.0,15.94412899017334
T1_1,14,2.8,5.0,26.357982635498047
T1_2,1,0.015,5.0,35.97416305541992
T1_2,2,0.022,5.0,35.605987548828125
T1_2,3,0.032,5.0,35.081886291503906
T1_2,4,0.045,5.0,34.40425491333008
T1_2,5,0.065,5.0,33.370697021484375
T1_2,6,0.1,5.0,31.59041404724121
T1_2,7,0.15,5.0,29.113664627075195
T1_2,8,0.22,5.0,25.781261444091797
T1_2,9,0.35,5.0,20.005475997924805
T1_2,10,0.55,5.0,12.100924491882324
T1_2,11,0.85,5.0,2.19230580329895
T1_2,12,1.3,5.0,9.181610107421875
T1_2,13,2.0,5.0,20.89472198486328
T1_2,14,2.8,5.0,28.64317512512207
T1_3,1,0.015,5.0,38.93288040161133
T1_3,2,0.022,5.0,38.36524963378906
T1_3,3,0.032,5.0,37.564579010009766
T1_3,4,0.045,5.0,36.53889465332031
T1_3,5,0.065,5.0,34.98928451538086
T1_3,6,0.1,5.0,32.34928512573242
T1_3,7,0.15,5.0,28.724056243896484
T1_3,8,0.22,5.0,23.92720603942871
T1_3,9,0.35,5.0,15.838760375976562
T1_3,10,0.55,5.0,5.265600204467773
T1_3,11,0.85,5.0,7.094302177429199
T1_3,12,1.3,5.0,19.81818389892578
T1_3,13,2.0,5.0,30.898880004882812
T1_3,14,2.8,5.0,36.65616989135742
T1_4,1,0.015,5.0,38.29969787597656
T1_4,2,0.022,5.0,37.53009033203125
T1_4,3,0.032,5.0,36.4454460144043
T1_4,4,0.045,5.0,35.059879302978516
T1_4,5,0.065,5.0,32.97868728637695
T1_4,6,0.1,5.0,29.47309112548828
T1_4,7,0.15,5.0,24.744457244873047
T1_4,8,0.22,5.0,18.63532066345215
T1_4,9,0.35,5.0,8.710561752319336
T1_4,10,0.55,5.0,3.5229856967926025
T1_4,11,0.85,5.0,16.59308433532715
T1_4,12,1.3,5.0,28.337543487548828
T1_4,13,2.0,5.0,36.54331588745117
T1_4,14,2.8,5.0,39.51789093017578
T1_5,1,0.015,5.0,34.292396545410156
T1_5,2,0.022,5.0,33.29585266113281
T1_5,3,0.032,5.0,31.8960018157959
T1_5,4,0.045,5.0,30.116971969604492
T1_5,5,0.065,5.0,27.466873168945312
T1_5,6,0.1,5.0,23.07002067565918
T1_5,7,0.15,5.0,17.283309936523438
T1_5,8,0.22,5.0,10.065343856811523
T1_5,9,0.35,5.0,1.0036965608596802
T1_5,10,0.55,5.0,13.399118423461914
T1_5,11,0.85,5.0,24.85646629333496
T1_5,12,1.3,5.0,33.063209533691406
T1_5,13,2.0,5.0,36.8986930847168
T1_5,14,2.8,5.0,37.310455322265625
T1_6,1,0.015,5.0,38.30392074584961
T1_6,2,0.022,5.0,36.96173095703125
T1_6,3,0.032,5.0,35.089088439941406
T1_6,4,0.045,5.0,32.732215881347656
T1_6,5,0.065,5.0,29.274227142333984
T1_6,6,0.1,5.0,23.702316284179688
T1_6,7,0.15,5.0,16.803600311279297
T1_6,8,0.22,5.0,9.640848159790039
T1_6,9,0.35,5.0,9.92574405670166
T1_6,10,0.55,5.0,20.872562408447266
T1_6,11,0.85,5.0,30.681196212768555
T1_6,12,1.3,5.0,36.58259582519531
T1_6,13,2.0,5.0,39.020450592041016
T1_6,14,2.8,5.0,39.75764465332031
T1_7,1,0.015,5.0,31.262889862060547
T1_7,2,0.022,5.0,29.44049072265625
T1_7,3,0.032,5.0,26.918888092041016
T1_7,4,0.045,5.0,23.779420852661133
T1_7,5,0.065,5.0,19.239177703857422
T1_7,6,0.1,5.0,12.069158554077148
T1_7,7,0.15,5.0,3.3299710750579834
T1_7,8,0.22,5.0,6.469130039215088
T1_7,9,0.35,5.0,19.046655654907227
T1_7,10,0.55,5.0,29.541105270385742
T1_7,11,0.85,5.0,35.650123596191406
T1_7,12,1.3,5.0,37.53532028198242
T1_7,13,2.0,5.0,37.090980529785156
T1_7,14,2.8,5.0,36.23698425292969
T1_8,1,0.015,5.0,30.618160247802734
T1_8,2,0.022,5.0,28.006467819213867
T1_8,3,0.032,5.0,24.43787956237793
T1_8,4,0.045,5.0,20.069795608520508
T1_8,5,0.065,5.0,13.90478801727295
T1_8,6,0.1,5.0,4.5556511878967285
T1_8,7,0.15,5.0,6.150893211364746
T1_8,8,0.22,5.0,17.117046356201172
T1_8,9,0.35,5.0,29.294679641723633
T1_8,10,0.55,5.0,37.217201232910156
T1_8,11,0.85,5.0,40.1878662109375
T1_8,12,1.3,5.0,40.15851974487305
T1_8,13,2.0,5.0,39.08909225463867
T1_8,14,2.8,5.0,38.082763671875
T1_9,1,0.015,5.0,26.790613174438477
T1_9,2,0.022,5.0,23.425127029418945
T1_9,3,0.032,5.0,18.90470314025879
T1_9,4,0.045,5.0,13.499358177185059
T1_9,5,0.065,5.0,6.123165130615234
T1_9,6,0.1,5.0,4.454629898071289
T1_9,7,0.15,5.0,15.549487113952637
T1_9,8,0.22,5.0,25.589357376098633
T1_9,9,0.35,5.0,34.687129974365234
