label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,41.189571380615234
T1_1,2,0.022,5.0,40.863677978515625
T1_1,3,0.032,5.0,40.39950180053711
T1_1,4,0.045,5.0,39.79898452758789
T1_1,5,0.065,5.0,38.882179260253906
T1_1,6,0.1,5.0,37.299537658691406
T1_1,7,0.15,5.0,35.08721160888672
T1_1,8,0.22,5.0,32.08500671386719
T1_1,9,0.35,5.0,26.79528045654297
T1_1,10,0.55,5.0,19.33805274963379
T1_1,11,0.85,5.0,9.53508472442627
T1_1,12,1.3,5.0,2.621164560317993
T1_1,13,2.0,5.0,16.579158782958984
T1_1,14,2.8,5.0,27.433847427368164
T1_2,1,0.015,5.0,41.04933166503906
T1_2,2,0.022,5.0,40.649452209472656
T1_2,3,0.032,5.0,40.08015441894531
T1_2,4,0.045,5.0,39.343902587890625
T1_2,5,0.065,5.0,38.220523834228516
T1_2,6,0.1,5.0,36.28425979614258
T1_2,7,0.15,5.0,33.587554931640625
T1_2,8,0.22,5.0,29.953197479248047
T1_2,9,0.35,5.0,23.635873794555664
T1_2,10,0.55,5.0,14.947657585144043
T1_2,11,0.85,5.0,3.997598648071289
T1_2,12,1.3,5.0,8.887866973876953
T1_2,13,2.0,5.0,22.393756866455078
T1_2,14,2.8,5.0,31.7250919342041
T1_3,1,0.015,5.0,43.33425521850586
T1_3,2,0.022,5.0,42.740089416503906
T1_3,3,0.032,5.0,41.901981353759766
T1_3,4,0.045,5.0,40.828216552734375
T1_3,5,0.065,5.0,39.20547103881836
T1_3,6,0.1,5.0,36.43896484375
T1_3,7,0.15,5.0,32.63566970825195
T1_3,8,0.22,5.0,27.59535789489746
T1_3,9,0.35,5.0,19.076814651489258
T1_3,10,0.55,5.0,7.9356842041015625
T1_3,11,0.85,5.0,5.654555320739746
T1_3,12,1.3,5.0,19.411903381347656
T1_3,13,2.0,5.0,31.968666076660156
T1_3,14,2.8,5.0,39.040706634521484
T1_4,1,0.015,5.0,40.89171600341797
T1_4,2,0.022,5.0,40.107234954833984
T1_4,3,0.032,5.0,39.00157165527344
T1_4,4,0.045,5.0,37.58900451660156
T1_4,5,0.065,5.0,35.466896057128906
T1_4,6,0.1,5.0,31.891185760498047
T1_4,7,0.15,5.0,27.065814971923828
T1_4,8,0.22,5.0,20.830053329467773
T1_4,9,0.35,5.0,10.725339889526367
T1_4,10,0.55,5.0,2.8087680339813232
T1_4,11,0.85,5.0,15.769872665405273
T1_4,12,1.3,5.0,28.154321670532227
T1_4,13,2.0,5.0,37.23080062866211
T1_4,14,2.8,5.0,40.98989486694336
T1_5,1,0.015,5.0,35.2332763671875
T1_5,2,0.022,5.0,34.23125457763672
T1_5,3,0.032,5.0,32.82370376586914
T1_5,4,0.045,5.0,31.03486442565918
T1_5,5,0.065,5.0,28.370166778564453
T1_5,6,0.1,5.0,23.949575424194336
T1_5,7,0.15,5.0,18.134672164916992
T1_5,8,0.22,5.0,10.900886535644531
T1_5,9,0.35,5.0,1.620863437652588
T1_5,10,0.55,5.0,13.044086456298828
T1_5,11,0.85,5.0,24.67853546142578
T1_5,12,1.3,5.0,33.166465759277344
T1_5,13,2.0,5.0,37.376590728759766
T1_5,14,2.8,5.0,38.126808166503906
T1_6,1,0.015,5.0,33.69514846801758
T1_6,2,0.022,5.0,32.3445930480957
T1_6,3,0.032,5.0,30.45741844177246
T1_6,4,0.045,5.0,28.076549530029297
T1_6,5,0.065,5.0,24.568328857421875
T1_6,6,0.1,5.0,18.856874465942383
T1_6,7,0.15,5.0,11.57088565826416
T1_6,8,0.22,5.0,3.0249271392822266
T1_6,9,0.35,5.0,9.819657325744629
T1_6,10,0.55,5.0,22.252248764038086
T1_6,11,0.85,5.0,31.906810760498047
T1_6,12,1.3,5.0,37.1323127746582
T1_6,13,2.0,5.0,38.4487190246582
T1_6,14,2.8,5.0,38.01786422729492
T1_7,1,0.015,5.0,31.776248931884766
T1_7,2,0.022,5.0,29.952714920043945
T1_7,3,0.032,5.0,27.43008804321289
T1_7,4,0.045,5.0,24.290550231933594
T1_7,5,0.065,5.0,19.753992080688477
T1_7,6,0.1,5.0,12.61136531829834
T1_7,7,0.15,5.0,4.135886192321777
T1_7,8,0.22,5.0,6.399024963378906
T1_7,9,0.35,5.0,18.870712280273438
T1_7,10,0.55,5.0,29.438873291015625
T1_7,11,0.85,5.0,35.68386459350586
T1_7,12,1.3,5.0,37.76157760620117
T1_7,13,2.0,5.0,37.57415771484375
T1_7,14,2.8,5.0,36.955814361572266
T1_8,1,0.015,5.0,33.093746185302734
T1_8,2,0.022,5.0,30.478538513183594
T1_8,3,0.032,5.0,26.907861709594727
T1_8,4,0.045,5.0,22.543760299682617
