sigma,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,snr_dual
0.0,T1_1,1.879,0.8244606806540111,0.0,56.12236931059013,3.431326321408475e18
0.0,T1_2,1.432,1.109783824870448,0.0,22.501129548153077,2.2423897207283384e18
0.0,T1_3,1.027,1.3478119268348887,0.0,31.237772817418588,2.8701712691799e18
0.0,T1_4,0.7513,0.6195347586760789,0.0,17.53829912470666,3.781031234482733e18
0.0,T1_5,0.527,0.48178571451570557,0.0,8.579560812959112,4.712737046895002e18
0.0,T1_6,0.3841,0.3921921016913012,0.0,2.1067695108828666,5.690630112974733e18
0.0,T1_7,0.2723,0.27204789883710057,0.0,0.09258213841326102,5.378190552363696e18
0.0,T1_8,0.1945,0.19529198570652273,0.0,0.40719059461322593,5.281054558385078e18
0.0,T1_9,0.1378,0.13859874435185215,0.0,0.5796403133905288,5.455140560828367e18
0.0,T1_10,0.0947,0.09396745979766327,0.0,0.7735377004611477,4.946624610599698e18
0.0,T1_11,0.067,0.0674553705216152,0.0,0.6796574949480274,4.1931919298878505e18
0.0,T1_12,0.04814,0.045213752468545636,0.0,6.078619716357237,3.20188701667754e18
0.0,T1_13,0.03435,0.03436611601872002,0.0,0.04691708506554636,3.359303516605645e18
0.0,T1_14,0.02416,0.02438963642677315,0.0,0.9504818988954735,3.131800061009199e18
216.0,T1_1,1.879,0.8219619389312993,0.29101026373289113,56.25535183973925,202.59216674153552
216.0,T1_2,1.432,1.1097934915356598,0.3187633152742002,22.500454501699725,132.42122684212873
216.0,T1_3,1.027,1.3498778534482325,0.5067965279027277,31.438934123489048,168.9478991316584
216.0,T1_4,0.7513,0.9047745769025944,1.0466720910187488,46.150707330983515,223.12356437964507
216.0,T1_5,0.527,0.4781352734015461,0.0765477101409362,9.272244136329014,277.8454653706731
216.0,T1_6,0.3841,0.39189494174455974,0.05637978579221234,2.029404255287607,335.08574594629704
216.0,T1_7,0.2723,0.2718417709248328,0.04096148390705679,0.16828096774406537,316.82982559401984
216.0,T1_8,0.1945,0.20441852105937108,0.04324019047292447,5.393085462911162,311.5955672317094
216.0,T1_9,0.1378,0.13859874435185215,0.01709793525839425,0.5796403133905288,321.6144004770532
216.0,T1_10,0.0947,0.09396745979766327,0.011329446996592501,0.7735377004611477,291.8097202185442
216.0,T1_11,0.067,0.06735315003208885,0.022948194805572857,0.650983391110646,247.67923418421447
216.0,T1_12,0.04814,0.045213752468545636,0.008285997188882165,6.078619716357237,188.6806486402341
216.0,T1_13,0.03435,0.03436611601872002,0.018957039705850075,0.04691708506554636,198.37711054439586
216.0,T1_14,0.02416,0.024315717313865292,0.0062811504057393485,0.7495148126461995,184.42629564161592
648.0,T1_1,1.879,0.824489406195695,0.9560403497607225,56.120840543071054,62.31993544861388
648.0,T1_2,1.432,1.1055891322322624,1.4950000000000008,22.794055011713507,40.66383332609514
648.0,T1_3,1.027,1.355066284916681,1.4950000000000008,31.944136798118898,52.15914413259375
648.0,T1_4,0.7513,0.9793668181622771,1.4950000000000008,53.98917535141609,68.55244207603761
648.0,T1_5,0.527,0.47887370702536197,1.4950000000000008,9.132123904105892,85.00722177861522
648.0,T1_6,0.3841,0.39100346190433555,0.20335365742907785,1.797308488501829,102.90149763277873
648.0,T1_7,0.2723,0.2724672636027671,0.1548628303363234,0.3609553022187303,97.50221979955553
648.0,T1_8,0.1945,0.20351230579740026,0.10890109548095746,5.52160521337585,95.74439232205776
648.0,T1_9,0.1378,0.13881361693838873,0.15784477560087543,0.810702028555406,99.07275516623324
648.0,T1_10,0.0947,0.09418432832718704,1.4927081031676876,0.7403558517288076,89.87245300526575
648.0,T1_11,0.067,0.06735432515911624,0.040872245766113584,0.7766311030250959,76.20678512792881
648.0,T1_12,0.04814,0.04504324566209842,0.023691934107448902,6.4328091771948115,58.27765740679756
648.0,T1_13,0.03435,0.0342894962070398,0.6203146322338765,0.7005140361866683,60.75942952614085
