sigma,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,snr_dual
0.0,T1_1,1.879,0.903406717105481,0.0,51.92087721631288,8.966588862562304e15
0.0,T1_2,1.432,1.109783824870448,0.0,22.501129548153077,8.256156174647296e15
0.0,T1_3,1.027,1.2584740653577182,0.0,22.538857386340627,1.1479058160287744e16
0.0,T1_4,0.7513,0.6559738570740129,0.0,12.688159580192606,1.5282725489475584e16
0.0,T1_5,0.527,0.47089662396642673,0.0,10.645801903903848,1.823133274420019e16
0.0,T1_6,0.3841,0.37897130798240136,0.0,1.335249158447951,2.1786078264426496e16
0.0,T1_7,0.2723,0.2658992021968194,0.0,2.35064186675747,2.079207975603405e16
0.0,T1_8,0.1945,0.226578471314825,0.0,16.49278730839334,2.1809674042998784e16
0.0,T1_9,0.1378,0.13702352157279532,0.0,0.5634821677827705,2.235782001590272e16
0.0,T1_10,0.0947,0.09396745979766327,0.0,0.7735377004611477,1.918922319409971e16
0.0,T1_11,0.067,0.0674553705216152,0.0,0.6796574949480274,1.7001885336600576e16
0.0,T1_12,0.04814,0.044699882497009076,0.0,7.146068764002738,1.3071202687909888e16
0.0,T1_13,0.03435,0.034761188982536946,0.0,1.1970567177203715,1.3428358729695232e16
0.0,T1_14,0.02416,0.02495362636851045,0.0,3.2848773531061677,1.245426028118016e16
1.0,T1_1,1.879,0.904114826252871,0.3785718785340308,51.88319179069341,134.42212902022058
1.0,T1_2,1.432,1.1072708759536214,0.3846700251918534,22.676614807708,123.86442080499741
1.0,T1_3,1.027,1.263296539124386,0.4610789149517712,23.0084263996481,171.23317988521157
1.0,T1_4,0.7513,0.7200105222641249,0.7156634336352451,18.583031672207916,228.20637749347756
1.0,T1_5,0.527,0.4694694497311974,0.2764125427530279,10.916612954231994,272.3303597912678
1.0,T1_6,0.3841,0.3798426390211759,0.06614252644177251,1.108399109300717,325.77771953276556
1.0,T1_7,0.2723,0.2669181281822409,0.08246524740930637,1.9764494372967556,310.716087555679
1.0,T1_8,0.1945,0.22744672022363097,0.04746356325373104,16.939187775645756,326.1625812111468
1.0,T1_9,0.1378,0.13712853642473244,0.01931634574530043,0.5645593774899543,334.3814938813282
1.0,T1_10,0.0947,0.09418350983267093,0.013549044257098406,0.692264156715628,286.75686671410375
1.0,T1_11,0.067,0.0674553705216152,0.024917450226628866,0.6796574949480274,254.31220696378895
1.0,T1_12,0.04814,0.044699882497009076,0.009687090702404144,7.146068764002738,195.03077173248187
1.0,T1_13,0.03435,0.03470851258736136,0.019600653171552403,1.0437047666997281,200.2130411518346
1.0,T1_14,0.02416,0.024953843724671642,0.10631754857490038,3.2857770060912426,185.8024310820142
3.0,T1_1,1.879,0.9020926174265954,1.4950000000000008,51.99081333546594,36.9992270797559
3.0,T1_2,1.432,1.1107693708889732,1.4950000000000008,22.432306502166657,34.371389247109015
3.0,T1_3,1.027,1.2643378940477312,1.4950000000000008,23.10982415265154,47.42995240520908
3.0,T1_4,0.7513,0.9051857511524467,1.4950000000000008,38.15507635714432,62.76288103775193
3.0,T1_5,0.527,0.4705766058534591,1.4950000000000008,10.706526403518206,74.90930949992213
3.0,T1_6,0.3841,0.38073058887017663,0.30430605878068284,1.255738642513773,89.33907130070881
3.0,T1_7,0.2723,0.26550321224971696,0.17212544236357677,2.4960660118556706,85.56784721787994
3.0,T1_8,0.1945,0.22797560930558886,0.12639028820709186,17.211110182822054,89.34186191556167
3.0,T1_9,0.1378,0.1375509828928787,0.18675633928343477,0.7217067021165727,91.7149087536777
3.0,T1_10,0.0947,0.0944723950405306,1.4948377840172256,0.6319911267347813,78.79996274055537
3.0,T1_11,0.067,0.06761163907347316,1.4915269470567407,1.0367879304902248,69.66976012195238
3.0,T1_12,0.04814,0.044598665918801836,0.02779073020452746,7.35632339260108,53.667306839087765
3.0,T1_13,0.03435,0.034578634901687284,1.4924288468589533,0.9563106726647473,55.528763327548866
3.0,T1_14,0.02416,0.025012741136332842,1.4950000000000008,3.5295576834968703,51.469603949343366
8.0,T1_1,1.879,0.8974410608384543,1.4950000000000008,52.23836823637816,15.661402987757606
8.0,T1_2,1.432,1.1079476006535385,1.4950000000000008,22.62935749626128,14.357656365850543
8.0,T1_3,1.027,1.2531111561506807,1.4950000000000008,22.016665642714774,20.13200762708205
8.0,T1_4,0.7513,0.9605323072711082,1.4950000000000008,44.60865690502253,26.61333466349535
8.0,T1_5,0.527,0.4674886284405985,1.4950000000000008,11.292480371802942,32.05918919954272
8.0,T1_6,0.3841,0.38077020208137785,1.4950000000000008,1.6239416586217812,38.74742977779414
8.0,T1_7,0.2723,0.2673912226829342,1.4950000000000008,2.550773467051376,36.74922338913598
8.0,T1_8,0.1945,0.22783580758615077,1.4950000000000008,17.1392326921084,38.940727126253805
8.0,T1_9,0.1378,0.1371597486204822,1.4950000000000008,1.86182669138496,40.528074476212126
8.0,T1_10,0.0947,0.09455343461903526,1.4950000000000008,1.163555986995481,33.97210691490034
8.0,T1_11,0.067,0.06726606739827506,1.4950000000000008,1.7857718850384647,30.114144514211393
8.0,T1_12,0.04814,0.04409193394204132,1.4950000000000008,8.955332670379802,23.327886311139036
8.0,T1_13,0.03435,0.03501005280753592,1.4950000000000008,2.660212381346156,24.470151807033496
8.0,T1_14,0.02416,0.024742433890404925,1.4950000000000008,3.588696385564455,22.070140581294215
12.0,T1_1,1.879,0.9210060588608877,1.4950000000000008,50.9842438072971,11.742251822552964
12.0,T1_2,1.432,1.1573350037498775,1.4950000000000008,19.18051649791358,9.991960456343365
12.0,T1_3,1.027,1.2728204956110245,1.4950000000000008,23.935783409057887,14.55235909903452
12.0,T1_4,0.7513,1.097084449223889,1.4950000000000008,58.308764499828975,19.508667255889133
12.0,T1_5,0.527,0.4064517066999844,1.4950000000000008,22.874438956359697,23.388236199648624
12.0,T1_6,0.3841,0.3811037949970132,1.4950000000000008,2.0316198577177054,27.89379673587036
12.0,T1_7,0.2723,0.2543011459794094,1.4950000000000008,7.817576320011854,25.910286380506502
12.0,T1_8,0.1945,0.22856210379850683,1.4950000000000008,17.512649767869856,28.181898021733797
12.0,T1_9,0.1378,0.1371549194586463,1.4950000000000008,1.632507197718045,28.402921984581653
12.0,T1_10,0.0947,0.09406666816643915,1.4950000000000008,2.1567612849920734,23.593271483771762
12.0,T1_11,0.067,0.060509148797241695,1.4950000000000008,12.848659188038685,21.699516359105818
12.0,T1_12,0.04814,0.04453297721896892,1.4950000000000008,9.313390694531593,16.755721331280988
12.0,T1_13,0.03435,0.03449355207776194,1.4950000000000008,2.6084331805939707,17.412145659266375
12.0,T1_14,0.02416,0.024787701286903704,1.4950000000000008,4.8786587879870265,16.536780018135264
16.0,T1_1,1.879,0.9167768427579142,1.4950000000000008,51.20932183300085,9.441951232895827
16.0,T1_2,1.432,1.1253996410418665,1.4950000000000008,21.410639592048415,8.611696332764947
16.0,T1_3,1.027,1.30999186376321,1.4950000000000008,27.555196082104185,11.0074782685842
16.0,T1_4,0.7513,1.1576512101595904,1.4950000000000008,65.70743338353728,15.409185063531758
16.0,T1_5,0.527,0.4740290498855492,1.4950000000000008,10.0514136839565,18.06087724010336
16.0,T1_6,0.3841,0.3794248983081079,1.4950000000000008,3.348919744252394,21.87658292699917
16.0,T1_7,0.2723,0.2662611515040772,1.4950000000000008,3.560749870295309,20.54065256040307
16.0,T1_8,0.1945,0.23089535021200647,1.4950000000000008,18.712262319797688,22.074496801245683
16.0,T1_9,0.1378,0.13826948409722764,1.4950000000000008,3.0829298419146585,22.427673740226854
16.0,T1_10,0.0947,0.09326770030975004,1.4950000000000008,1.9198263165152685,18.92367398776516
16.0,T1_11,0.067,0.06551504999021239,1.4950000000000008,6.244675704483015,17.32493221210914
16.0,T1_12,0.04814,0.044097776172170096,1.4950000000000008,10.294749476981416,13.464662354539481
16.0,T1_13,0.03435,0.037743878675561456,1.4950000000000008,13.238566605618674,13.840445696979543
16.0,T1_14,0.02416,0.02472052915923223,1.4950000000000008,6.058796299356448,13.317720450598516
22.0,T1_1,1.879,0.9361001490814533,1.4950000000000008,50.18093937831542,7.1720510865730205
22.0,T1_2,1.432,1.1570686273494466,1.4950000000000008,19.19911820185426,5.4774742072336124
22.0,T1_3,1.027,1.258956801535711,1.4950000000000008,25.092337924340654,7.670598060531581
22.0,T1_4,0.7513,1.1254253193697268,1.4950000000000008,59.996643195708884,10.556000294921926
22.0,T1_5,0.527,0.3612785852137362,1.4950000000000008,31.446188763996915,13.684408287390188
22.0,T1_6,0.3841,0.3818144786054095,1.4950000000000008,5.948783947448314,15.644609678305827
22.0,T1_7,0.2723,0.2491470569267812,1.4950000000000008,10.506587267491025,14.531611791558467
22.0,T1_8,0.1945,0.2244777621815292,1.4950000000000008,17.459521867139628,15.770995952334655
22.0,T1_9,0.1378,0.14772668175888265,1.4950000000000008,12.709772021825087,15.896610696356676
22.0,T1_10,0.0947,0.09346529226855055,1.4950000000000008,4.098610214612201,13.999793739589107
22.0,T1_11,0.067,0.06121678677851256,1.4950000000000008,14.924625620664308,11.953172942759897
22.0,T1_12,0.04814,0.04577570914280644,1.4950000000000008,11.515704671740158,9.97056661007205
22.0,T1_13,0.03435,0.03403929948610118,1.4950000000000008,5.191795132424298,9.160776738783508
22.0,T1_14,0.02416,0.028204642982342754,1.4950000000000008,24.46300344210664,8.626022076458394
30.0,T1_1,1.879,0.9866629813103436,1.4950000000000008,47.48999567267997,5.792794899611773
30.0,T1_2,1.432,1.1431856365350774,1.4950000000000008,20.84790731934988,4.847166020675977
30.0,T1_3,1.027,1.1393756828945165,1.4950000000000008,23.066254718901668,6.496296270789874
30.0,T1_4,0.7513,1.2314849105865757,1.4950000000000008,74.88453627937591,8.281179345598629
30.0,T1_5,0.527,0.37905997065291214,1.4950000000000008,28.072111830566953,9.5403214271566
30.0,T1_6,0.3841,0.3749717341448543,1.4950000000000008,5.819827380852888,11.795611696506185
30.0,T1_7,0.2723,0.247209793253841,1.4950000000000008,13.538867449217378,11.48062316437142
30.0,T1_8,0.1945,0.23828514747212315,1.4950000000000008,23.45267921172879,12.408474918278689
30.0,T1_9,0.1378,0.14332282359930737,1.4950000000000008,14.341522030053065,12.46902528715717
30.0,T1_10,0.0947,0.09663711643245405,1.4950000000000008,5.037973889931294,10.663189758849027
30.0,T1_11,0.067,0.05282530002573879,1.4950000000000008,30.7775711475912,9.349171158781926
30.0,T1_12,0.04814,0.043484750398508625,1.4950000000000008,15.70702225853949,6.867732899250791
30.0,T1_13,0.03435,0.035973344438680645,1.4950000000000008,16.213857896775455,6.951594313440856
30.0,T1_14,0.02416,0.230707692396988,1.4950000000000008,860.1177556879597,6.805394714453756
40.0,T1_1,1.879,1.0448773809828282,1.4950000000000008,44.39183709511292,3.86427496211048
40.0,T1_2,1.432,1.2529092973395166,1.4950000000000008,18.771169247479396,3.2648029694661176
40.0,T1_3,1.027,1.2017733492928322,1.4950000000000008,33.112029673572216,4.200989138844928
40.0,T1_4,0.7513,1.062363078645377,1.4950000000000008,68.90232549748583,5.8313413724027185
40.0,T1_5,0.527,0.32611488852244813,1.4950000000000008,40.94764808524046,6.403858065327568
40.0,T1_6,0.3841,0.3961729920548357,1.4950000000000008,9.240494379808935,7.630739503114672
40.0,T1_7,0.2723,0.24111955764828055,1.4950000000000008,20.42223989539121,7.620184191669904
40.0,T1_8,0.1945,0.2346691459515145,1.4950000000000008,23.693577695596748,7.517565346717458
40.0,T1_9,0.1378,0.18675349114478443,1.4950000000000008,40.995036165561835,7.957097016298207
40.0,T1_10,0.0947,0.28698321249633796,1.4950000000000008,215.76363093410308,7.17103917046704
40.0,T1_11,0.067,0.060044524173196404,1.4950000000000008,21.208551763439292,6.023550577473689
40.0,T1_12,0.04814,0.041159905681440116,1.4950000000000008,18.927656251259375,5.497646354488391
40.0,T1_13,0.03435,0.04819082547341046,1.4950000000000008,43.340707591890954,4.666048745640252
40.0,T1_14,0.02416,0.3480598922639964,1.4950000000000008,1351.893822693646,4.5290066572657945
45.0,T1_1,1.879,1.0839610236752748,1.4950000000000008,42.31181353511044,3.0690158003760097
45.0,T1_2,1.432,1.2175535341713646,1.4950000000000008,16.655481187886547,3.167099691101991
45.0,T1_3,1.027,1.1348793927678822,1.4950000000000008,28.675997566808473,3.7438844301009637
45.0,T1_4,0.7513,1.038593979221383,1.4950000000000008,54.851669932285546,5.220030126855316
45.0,T1_5,0.527,0.33303195095671234,1.4950000000000008,37.29529011318322,5.717266241867747
45.0,T1_6,0.3841,0.5684750845759691,1.4950000000000008,53.34872603130711,6.538965557925224
45.0,T1_7,0.2723,0.22982208572674293,1.4950000000000008,29.02698619899075,6.082804292599662
45.0,T1_8,0.1945,0.2470900670441822,1.4950000000000008,31.62089274225342,6.677208935413423
45.0,T1_9,0.1378,0.19724781000180186,1.4950000000000008,52.76361417025034,7.308628676972897
45.0,T1_10,0.0947,0.6786429665954582,1.4950000000000008,619.6791929080716,5.141872600698335
