label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.879,1.0601851267847164,0.0,43.57716195930195,0.065,0.0
T1_2,1.432,0.824460680654011,0.0,42.425930121926605,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.3789789502700562,0.0,34.27253654041444,0.020086104634371583,0.06181867355918498
T1_4,0.7513,1.3324935770261417,0.0,77.358389062444,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.5401266761514565,0.0,2.490830389270676,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.38332796317627404,0.0,0.20099891271178139,-0.065,7.960204194457795e-18
T1_7,0.2723,0.28477513039165064,0.0,4.581391991057899,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.25988947546049923,0.0,33.61926758894562,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.14843773568640614,0.0,7.719692080120563,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.10179505533404595,0.0,7.492138684314622,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.06370825033168832,0.0,4.913059206435343,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.08674177219954085,0.0,80.18648151130213,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.03208820524254918,0.0,6.58455533464577,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.08099221302532814,0.0,235.23266980682175,0.019798989873223326,-0.019798989873223333
