label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,123.68574523925781
T1_1,2,0.022,5.0,146.80075073242188
T1_1,3,0.032,5.0,231.51861572265625
T1_1,4,0.045,5.0,209.2004852294922
T1_1,5,0.065,5.0,207.34754943847656
T1_1,6,0.1,5.0,205.66714477539062
T1_1,7,0.15,5.0,130.45529174804688
T1_1,8,0.22,5.0,174.29258728027344
T1_1,9,0.35,5.0,95.61273193359375
T1_1,10,0.55,5.0,104.28245544433594
T1_1,11,0.85,5.0,116.4839096069336
T1_1,12,1.3,5.0,96.68789672851562
T1_1,13,2.0,5.0,112.25100708007812
T1_1,14,2.8,5.0,135.23289489746094
T1_2,1,0.015,5.0,46.81214904785156
T1_2,2,0.022,5.0,48.36093521118164
T1_2,3,0.032,5.0,157.9092559814453
T1_2,4,0.045,5.0,167.759765625
T1_2,5,0.065,5.0,197.01364135742188
T1_2,6,0.1,5.0,88.63587188720703
T1_2,7,0.15,5.0,32.560455322265625
T1_2,8,0.22,5.0,154.0580596923828
T1_2,9,0.35,5.0,30.389053344726562
T1_2,10,0.55,5.0,76.47314453125
T1_2,11,0.85,5.0,116.84297943115234
T1_2,12,1.3,5.0,131.3382110595703
T1_2,13,2.0,5.0,113.9892578125
T1_2,14,2.8,5.0,137.1405029296875
T1_3,1,0.015,5.0,43.16269302368164
T1_3,2,0.022,5.0,27.629568099975586
T1_3,3,0.032,5.0,170.04408264160156
T1_3,4,0.045,5.0,174.90643310546875
T1_3,5,0.065,5.0,196.91351318359375
T1_3,6,0.1,5.0,88.08391571044922
T1_3,7,0.15,5.0,26.134471893310547
T1_3,8,0.22,5.0,136.18505859375
T1_3,9,0.35,5.0,46.09141159057617
T1_3,10,0.55,5.0,37.698036193847656
T1_3,11,0.85,5.0,141.5279541015625
T1_3,12,1.3,5.0,161.25946044921875
T1_3,13,2.0,5.0,173.30740356445312
T1_3,14,2.8,5.0,184.9199981689453
T1_4,1,0.015,5.0,45.960628509521484
T1_4,2,0.022,5.0,24.914888381958008
T1_4,3,0.032,5.0,161.37977600097656
T1_4,4,0.045,5.0,170.26687622070312
T1_4,5,0.065,5.0,186.37298583984375
T1_4,6,0.1,5.0,75.55915069580078
T1_4,7,0.15,5.0,37.167266845703125
T1_4,8,0.22,5.0,109.25615692138672
T1_4,9,0.35,5.0,66.4310531616211
T1_4,10,0.55,5.0,11.303196907043457
T1_4,11,0.85,5.0,162.14962768554688
T1_4,12,1.3,5.0,183.29383850097656
T1_4,13,2.0,5.0,190.38796997070312
T1_4,14,2.8,5.0,197.7776641845703
T1_5,1,0.015,5.0,30.135412216186523
T1_5,2,0.022,5.0,11.312063217163086
T1_5,3,0.032,5.0,140.0339813232422
T1_5,4,0.045,5.0,182.0617218017578
T1_5,5,0.065,5.0,162.7699432373047
T1_5,6,0.1,5.0,33.95119094848633
T1_5,7,0.15,5.0,39.397396087646484
T1_5,8,0.22,5.0,66.06099700927734
T1_5,9,0.35,5.0,102.28630065917969
T1_5,10,0.55,5.0,62.86098098754883
T1_5,11,0.85,5.0,177.18177795410156
T1_5,12,1.3,5.0,197.5214080810547
T1_5,13,2.0,5.0,203.1826171875
T1_5,14,2.8,5.0,219.571533203125
T1_6,1,0.015,5.0,128.84059143066406
T1_6,2,0.022,5.0,151.24478149414062
T1_6,3,0.032,5.0,203.14303588867188
T1_6,4,0.045,5.0,170.07778930664062
T1_6,5,0.065,5.0,153.45123291015625
T1_6,6,0.1,5.0,146.14688110351562
T1_6,7,0.15,5.0,137.28224182128906
T1_6,8,0.22,5.0,31.522661209106445
T1_6,9,0.35,5.0,119.8089828491211
T1_6,10,0.55,5.0,113.40476989746094
T1_6,11,0.85,5.0,201.87791442871094
T1_6,12,1.3,5.0,208.12379455566406
T1_6,13,2.0,5.0,206.9190673828125
T1_6,14,2.8,5.0,212.50315856933594
T1_7,1,0.015,5.0,51.00750732421875
T1_7,2,0.022,5.0,47.626495361328125
T1_7,3,0.032,5.0,122.39671325683594
T1_7,4,0.045,5.0,119.81224060058594
T1_7,5,0.065,5.0,116.7279052734375
T1_7,6,0.1,5.0,11.704730033874512
T1_7,7,0.15,5.0,95.51740264892578
T1_7,8,0.22,5.0,26.200206756591797
T1_7,9,0.35,5.0,150.0925750732422
T1_7,10,0.55,5.0,154.927734375
T1_7,11,0.85,5.0,202.846435546875
T1_7,12,1.3,5.0,207.4008331298828
T1_7,13,2.0,5.0,161.7001953125
T1_7,14,2.8,5.0,170.8247528076172
T1_8,1,0.015,5.0,53.25640106201172
T1_8,2,0.022,5.0,34.79167556762695
T1_8,3,0.032,5.0,113.55188751220703
T1_8,4,0.045,5.0,121.5605697631836
T1_8,5,0.065,5.0,84.96246337890625
T1_8,6,0.1,5.0,23.163883209228516
T1_8,7,0.15,5.0,116.43769073486328
T1_8,8,0.22,5.0,77.59556579589844
T1_8,9,0.35,5.0,173.8722381591797
T1_8,10,0.55,5.0,184.7828826904297
T1_8,11,0.85,5.0,208.48681640625
T1_8,12,1.3,5.0,207.813720703125
T1_8,13,2.0,5.0,186.40272521972656
T1_8,14,2.8,5.0,189.9825897216797
T1_9,1,0.015,5.0,61.328285217285156
T1_9,2,0.022,5.0,43.759422302246094
T1_9,3,0.032,5.0,85.83879089355469
T1_9,4,0.045,5.0,93.27935028076172
T1_9,5,0.065,5.0,44.467166900634766
T1_9,6,0.1,5.0,56.35090255737305
T1_9,7,0.15,5.0,137.2527618408203
T1_9,8,0.22,5.0,120.67842102050781
T1_9,9,0.35,5.0,185.32003784179688
T1_9,10,0.55,5.0,191.60311889648438
T1_9,11,0.85,5.0,201.4665985107422
T1_9,12,1.3,5.0,198.39920043945312
T1_9,13,2.0,5.0,175.5767822265625
T1_9,14,2.8,5.0,178.76316833496094
T1_10,1,0.015,5.0,44.32926559448242
T1_10,2,0.022,5.0,37.09661102294922
T1_10,3,0.032,5.0,44.47671127319336
T1_10,4,0.045,5.0,59.25773620605469
T1_10,5,0.065,5.0,6.134655475616455
T1_10,6,0.1,5.0,107.21994018554688
T1_10,7,0.15,5.0,135.90159606933594
T1_10,8,0.22,5.0,149.26707458496094
T1_10,9,0.35,5.0,189.3596954345703
T1_10,10,0.55,5.0,180.73318481445312
T1_10,11,0.85,5.0,179.81837463378906
T1_10,12,1.3,5.0,183.76541137695312
T1_10,13,2.0,5.0,174.9951171875
T1_10,14,2.8,5.0,181.40016174316406
T1_11,1,0.015,5.0,46.93114471435547
T1_11,2,0.022,5.0,35.38718795776367
T1_11,3,0.032,5.0,21.257543563842773
T1_11,4,0.045,5.0,9.988414764404297
T1_11,5,0.065,5.0,35.54490661621094
T1_11,6,0.1,5.0,115.72511291503906
T1_11,7,0.15,5.0,109.47053527832031
T1_11,8,0.22,5.0,144.2085418701172
T1_11,9,0.35,5.0,154.90286254882812
T1_11,10,0.55,5.0,154.86331176757812
T1_11,11,0.85,5.0,146.0045928955078
T1_11,12,1.3,5.0,155.8380584716797
T1_11,13,2.0,5.0,169.1058349609375
T1_11,14,2.8,5.0,181.60145568847656
T1_12,1,0.015,5.0,34.49163055419922
T1_12,2,0.022,5.0,21.473554611206055
T1_12,3,0.032,5.0,15.96269416809082
T1_12,4,0.045,5.0,19.00493812561035
T1_12,5,0.065,5.0,65.17074584960938
T1_12,6,0.1,5.0,126.4021224975586
T1_12,7,0.15,5.0,100.32898712158203
T1_12,8,0.22,5.0,133.99502563476562
T1_12,9,0.35,5.0,137.3038787841797
T1_12,10,0.55,5.0,134.92312622070312
T1_12,11,0.85,5.0,128.37994384765625
T1_12,12,1.3,5.0,135.70660400390625
T1_12,13,2.0,5.0,154.30087280273438
T1_12,14,2.8,5.0,165.38119506835938
T1_13,1,0.015,5.0,36.47779846191406
T1_13,2,0.022,5.0,22.32838249206543
T1_13,3,0.032,5.0,47.4691162109375
T1_13,4,0.045,5.0,52.76978302001953
T1_13,5,0.065,5.0,83.1283950805664
