label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.693997293655117,0.7945666574736966,210.64619423379486,9.845806617609522,0.065,0.0
T1_2,1.432,0.010833011294892676,0.0027198435081703925,115.01835126306659,99.24350479784269,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.01242565371171303,0.32298692853700645,125.95776398746008,98.79010187811946,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.43468672850773776,0.3192592433874731,161.88883453946545,42.14205663413579,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.25401557769676286,0.17799484547587546,165.0251514030886,51.79970062680022,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.3620342405404894,0.039165776728009055,215.724706945335,5.744795485423227,-0.065,7.960204194457795e-18
T1_7,0.2723,0.16080276672791305,0.030333982606011542,166.57001103131523,40.94646833348768,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.1250494419871865,0.020940198388497325,179.97455651585986,35.70722777008406,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.08381770750968853,0.013940255923193264,178.27607379968563,39.174377714304406,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.05682690054358857,0.010777566499275758,169.9594349339579,39.992713259146186,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.0555425260862097,0.003812235217390398,152.79592514428046,17.10070733401538,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.04319304969044181,0.004554208230097279,136.6963242893209,10.276174303195242,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.033975533196101,0.004365016401350421,121.00625156024878,1.0901508119330419,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.025530658105902895,0.002631071697708605,93.34496185890514,5.673253749598073,0.019798989873223326,-0.019798989873223333
