label,block,TI_s,TR_s,mag
T1_1,1,0.015,100.0,197.34713745117188
T1_1,2,0.022,100.0,246.58973693847656
T1_1,3,0.032,100.0,195.6869659423828
T1_1,4,0.045,100.0,84.06645965576172
T1_1,5,0.065,100.0,29.50830078125
T1_1,6,0.1,100.0,237.08206176757812
T1_1,7,0.15,100.0,201.01515197753906
T1_1,8,0.22,100.0,34.96274948120117
T1_1,9,0.35,100.0,156.08412170410156
T1_1,10,0.55,100.0,13.64124870300293
T1_1,11,0.85,100.0,59.9693489074707
T1_1,12,1.3,100.0,61.24686813354492
T1_1,13,2.0,100.0,46.1855583190918
T1_1,14,2.8,100.0,9.759560585021973
T1_2,1,0.015,100.0,20.654245376586914
T1_2,2,0.022,100.0,23.962156295776367
T1_2,3,0.032,100.0,17.899660110473633
T1_2,4,0.045,100.0,6.856564044952393
T1_2,5,0.065,100.0,1.5494258403778076
T1_2,6,0.1,100.0,18.498117446899414
T1_2,7,0.15,100.0,17.145408630371094
T1_2,8,0.22,100.0,0.7191453576087952
T1_2,9,0.35,100.0,9.721182823181152
T1_2,10,0.55,100.0,1.3612033128738403
T1_2,11,0.85,100.0,5.078735828399658
T1_2,12,1.3,100.0,3.0362062454223633
T1_2,13,2.0,100.0,1.1567745208740234
T1_2,14,2.8,100.0,1.37821364402771
T1_3,1,0.015,100.0,29.1367244720459
T1_3,2,0.022,100.0,17.27435874938965
T1_3,3,0.032,100.0,10.923032760620117
T1_3,4,0.045,100.0,5.81971549987793
T1_3,5,0.065,100.0,2.6945176124572754
T1_3,6,0.1,100.0,10.266321182250977
T1_3,7,0.15,100.0,11.560538291931152
T1_3,8,0.22,100.0,5.913078308105469
T1_3,9,0.35,100.0,8.208663940429688
T1_3,10,0.55,100.0,3.8082494735717773
T1_3,11,0.85,100.0,14.878922462463379
T1_3,12,1.3,100.0,8.218201637268066
T1_3,13,2.0,100.0,3.18426251411438
T1_3,14,2.8,100.0,9.075751304626465
T1_4,1,0.015,100.0,16.997102737426758
T1_4,2,0.022,100.0,16.318641662597656
T1_4,3,0.032,100.0,11.310088157653809
T1_4,4,0.045,100.0,7.3560471534729
T1_4,5,0.065,100.0,5.673545837402344
T1_4,6,0.1,100.0,3.7091896533966064
T1_4,7,0.15,100.0,10.834990501403809
T1_4,8,0.22,100.0,1.8184455633163452
T1_4,9,0.35,100.0,2.3561792373657227
T1_4,10,0.55,100.0,4.470386028289795
T1_4,11,0.85,100.0,7.141019821166992
T1_4,12,1.3,100.0,7.623809814453125
T1_4,13,2.0,100.0,3.666135787963867
T1_4,14,2.8,100.0,8.3447904586792
T1_5,1,0.015,100.0,23.490602493286133
T1_5,2,0.022,100.0,27.744766235351562
T1_5,3,0.032,100.0,21.550214767456055
T1_5,4,0.045,100.0,10.210381507873535
T1_5,5,0.065,100.0,4.123387813568115
T1_5,6,0.1,100.0,22.341880798339844
T1_5,7,0.15,100.0,19.022489547729492
T1_5,8,0.22,100.0,2.7466790676116943
T1_5,9,0.35,100.0,6.853095531463623
T1_5,10,0.55,100.0,1.5224971771240234
T1_5,11,0.85,100.0,5.545834064483643
T1_5,12,1.3,100.0,2.5855250358581543
T1_5,13,2.0,100.0,2.3958516120910645
T1_5,14,2.8,100.0,3.7673611640930176
T1_6,1,0.015,100.0,194.23342895507812
T1_6,2,0.022,100.0,239.90045166015625
T1_6,3,0.032,100.0,181.632080078125
T1_6,4,0.045,100.0,74.0214614868164
T1_6,5,0.065,100.0,21.584604263305664
T1_6,6,0.1,100.0,197.18577575683594
T1_6,7,0.15,100.0,164.45126342773438
T1_6,8,0.22,100.0,16.250715255737305
T1_6,9,0.35,100.0,77.4720230102539
T1_6,10,0.55,100.0,7.171265602111816
T1_6,11,0.85,100.0,28.47208023071289
