label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,0.4105228781700134
T1_1,2,0.022,5.0,0.4275624752044678
T1_1,3,0.032,5.0,0.7142717838287354
T1_1,4,0.045,5.0,0.6603862643241882
T1_1,5,0.065,5.0,0.6672916412353516
T1_1,6,0.1,5.0,0.6111891269683838
T1_1,7,0.15,5.0,0.4443178176879883
T1_1,8,0.22,5.0,0.5549848079681396
T1_1,9,0.35,5.0,0.40176165103912354
T1_1,10,0.55,5.0,0.3298574388027191
T1_1,11,0.85,5.0,0.4926246106624603
T1_1,12,1.3,5.0,0.4381219446659088
T1_1,13,2.0,5.0,0.41540083289146423
T1_1,14,2.8,5.0,0.45166221261024475
T1_2,1,0.015,5.0,0.261476069688797
T1_2,2,0.022,5.0,0.1910921335220337
T1_2,3,0.032,5.0,0.5020782947540283
T1_2,4,0.045,5.0,0.5366812944412231
T1_2,5,0.065,5.0,0.5675517916679382
T1_2,6,0.1,5.0,0.24885961413383484
T1_2,7,0.15,5.0,0.2495855987071991
T1_2,8,0.22,5.0,0.4193890392780304
T1_2,9,0.35,5.0,0.2123919129371643
T1_2,10,0.55,5.0,0.20226304233074188
T1_2,11,0.85,5.0,0.4553726017475128
T1_2,12,1.3,5.0,0.46038690209388733
T1_2,13,2.0,5.0,0.46382176876068115
T1_2,14,2.8,5.0,0.49298402667045593
T1_3,1,0.015,5.0,0.15387381613254547
T1_3,2,0.022,5.0,0.132740780711174
T1_3,3,0.032,5.0,0.5005453824996948
T1_3,4,0.045,5.0,0.5271479487419128
T1_3,5,0.065,5.0,0.5412194728851318
T1_3,6,0.1,5.0,0.27174317836761475
T1_3,7,0.15,5.0,0.166960209608078
T1_3,8,0.22,5.0,0.40875521302223206
T1_3,9,0.35,5.0,0.17130818963050842
T1_3,10,0.55,5.0,0.16611896455287933
T1_3,11,0.85,5.0,0.41753047704696655
T1_3,12,1.3,5.0,0.4422232210636139
T1_3,13,2.0,5.0,0.4581559896469116
T1_3,14,2.8,5.0,0.5147278904914856
T1_4,1,0.015,5.0,0.19944852590560913
T1_4,2,0.022,5.0,0.1975160390138626
T1_4,3,0.032,5.0,0.42820441722869873
T1_4,4,0.045,5.0,0.4683859050273895
T1_4,5,0.065,5.0,0.4928997755050659
T1_4,6,0.1,5.0,0.23000311851501465
T1_4,7,0.15,5.0,0.15214231610298157
T1_4,8,0.22,5.0,0.3242204487323761
T1_4,9,0.35,5.0,0.20583851635456085
T1_4,10,0.55,5.0,0.07511276751756668
T1_4,11,0.85,5.0,0.4224395751953125
T1_4,12,1.3,5.0,0.46599313616752625
T1_4,13,2.0,5.0,0.48876598477363586
T1_4,14,2.8,5.0,0.5208785533905029
T1_5,1,0.015,5.0,0.2360331267118454
T1_5,2,0.022,5.0,0.16248208284378052
T1_5,3,0.032,5.0,0.3964631259441376
T1_5,4,0.045,5.0,0.48171037435531616
T1_5,5,0.065,5.0,0.4981134235858917
T1_5,6,0.1,5.0,0.08028041571378708
T1_5,7,0.15,5.0,0.2391844391822815
T1_5,8,0.22,5.0,0.18009094893932343
T1_5,9,0.35,5.0,0.3863796293735504
T1_5,10,0.55,5.0,0.23739926517009735
T1_5,11,0.85,5.0,0.5873745083808899
T1_5,12,1.3,5.0,0.6381670236587524
T1_5,13,2.0,5.0,0.7000782489776611
T1_5,14,2.8,5.0,0.6622178554534912
T1_6,1,0.015,5.0,0.43590763211250305
T1_6,2,0.022,5.0,0.45398256182670593
T1_6,3,0.032,5.0,0.6354812979698181
T1_6,4,0.045,5.0,0.5535849332809448
T1_6,5,0.065,5.0,0.5068383812904358
T1_6,6,0.1,5.0,0.4190923571586609
T1_6,7,0.15,5.0,0.47875261306762695
T1_6,8,0.22,5.0,0.1069532111287117
T1_6,9,0.35,5.0,0.4420257806777954
T1_6,10,0.55,5.0,0.37693771719932556
T1_6,11,0.85,5.0,0.6785361170768738
T1_6,12,1.3,5.0,0.7016983032226562
T1_6,13,2.0,5.0,0.6721177697181702
T1_6,14,2.8,5.0,0.6993330121040344
T1_7,1,0.015,5.0,0.27944299578666687
T1_7,2,0.022,5.0,0.2135184407234192
T1_7,3,0.032,5.0,0.4189113974571228
T1_7,4,0.045,5.0,0.4049905240535736
T1_7,5,0.065,5.0,0.3900282382965088
T1_7,6,0.1,5.0,0.06734516471624374
T1_7,7,0.15,5.0,0.389309287071228
T1_7,8,0.22,5.0,0.06915047764778137
T1_7,9,0.35,5.0,0.4722900390625
T1_7,10,0.55,5.0,0.4626402258872986
T1_7,11,0.85,5.0,0.6462083458900452
T1_7,12,1.3,5.0,0.6578354835510254
T1_7,13,2.0,5.0,0.6146153211593628
T1_7,14,2.8,5.0,0.6142454147338867
T1_8,1,0.015,5.0,0.14740122854709625
T1_8,2,0.022,5.0,0.1222442090511322
T1_8,3,0.032,5.0,0.3196726441383362
T1_8,4,0.045,5.0,0.3039156198501587
T1_8,5,0.065,5.0,0.21636183559894562
T1_8,6,0.1,5.0,0.07117932289838791
T1_8,7,0.15,5.0,0.3038352429866791
T1_8,8,0.22,5.0,0.24642202258110046
T1_8,9,0.35,5.0,0.42338326573371887
T1_8,10,0.55,5.0,0.5175055265426636
T1_8,11,0.85,5.0,0.5261814594268799
T1_8,12,1.3,5.0,0.533465564250946
T1_8,13,2.0,5.0,0.5100541114807129
T1_8,14,2.8,5.0,0.5212663412094116
T1_9,1,0.015,5.0,0.1778838038444519
T1_9,2,0.022,5.0,0.14582164585590363
T1_9,3,0.032,5.0,0.19262219965457916
T1_9,4,0.045,5.0,0.2034078985452652
T1_9,5,0.065,5.0,0.10688948631286621
T1_9,6,0.1,5.0,0.16044920682907104
T1_9,7,0.15,5.0,0.30473461747169495
T1_9,8,0.22,5.0,0.3720157742500305
T1_9,9,0.35,5.0,0.43889033794403076
T1_9,10,0.55,5.0,0.5346035957336426
T1_9,11,0.85,5.0,0.46351972222328186
T1_9,12,1.3,5.0,0.47764894366264343
T1_9,13,2.0,5.0,0.45596763491630554
T1_9,14,2.8,5.0,0.46659618616104126
T1_10,1,0.015,5.0,0.23858493566513062
T1_10,2,0.022,5.0,0.1754036247730255
T1_10,3,0.032,5.0,0.14034725725650787
T1_10,4,0.045,5.0,0.1923588067293167
T1_10,5,0.065,5.0,0.10656508058309555
T1_10,6,0.1,5.0,0.30784881114959717
T1_10,7,0.15,5.0,0.4510953724384308
T1_10,8,0.22,5.0,0.3906411826610565
T1_10,9,0.35,5.0,0.586073637008667
T1_10,10,0.55,5.0,0.4969073534011841
T1_10,11,0.85,5.0,0.5854756236076355
T1_10,12,1.3,5.0,0.5898457765579224
T1_10,13,2.0,5.0,0.5999651551246643
T1_10,14,2.8,5.0,0.5469383001327515
T1_11,1,0.015,5.0,0.17101554572582245
T1_11,2,0.022,5.0,0.15921667218208313
T1_11,3,0.032,5.0,0.05129829794168472
T1_11,4,0.045,5.0,0.03973795473575592
T1_11,5,0.065,5.0,0.12237029522657394
T1_11,6,0.1,5.0,0.397559255361557
T1_11,7,0.15,5.0,0.3250514268875122
T1_11,8,0.22,5.0,0.43386176228523254
T1_11,9,0.35,5.0,0.4807767868041992
T1_11,10,0.55,5.0,0.46691957116127014
T1_11,11,0.85,5.0,0.4330207407474518
T1_11,12,1.3,5.0,0.4656764268875122
T1_11,13,2.0,5.0,0.48842716217041016
T1_11,14,2.8,5.0,0.45101016759872437
T1_12,1,0.015,5.0,0.15813766419887543
T1_12,2,0.022,5.0,0.1733247935771942
T1_12,3,0.032,5.0,0.1350526064634323
T1_12,4,0.045,5.0,0.15707483887672424
T1_12,5,0.065,5.0,0.23319482803344727
T1_12,6,0.1,5.0,0.4462208151817322
T1_12,7,0.15,5.0,0.3430269956588745
T1_12,8,0.22,5.0,0.43567365407943726
T1_12,9,0.35,5.0,0.4510236382484436
T1_12,10,0.55,5.0,0.43188005685806274
T1_12,11,0.85,5.0,0.4047701060771942
T1_12,12,1.3,5.0,0.42701172828674316
T1_12,13,2.0,5.0,0.45680734515190125
T1_12,14,2.8,5.0,0.41403794288635254
T1_13,1,0.015,5.0,0.1477382332086563
T1_13,2,0.022,5.0,0.1359611302614212
T1_13,3,0.032,5.0,0.19524435698986053
T1_13,4,0.045,5.0,0.18157820403575897
T1_13,5,0.065,5.0,0.23598797619342804
T1_13,6,0.1,5.0,0.4264557957649231
T1_13,7,0.15,5.0,0.30337297916412354
T1_13,8,0.22,5.0,0.3592374324798584
T1_13,9,0.35,5.0,0.4232533276081085
T1_13,10,0.55,5.0,0.3587222695350647
T1_13,11,0.85,5.0,0.3761691451072693
T1_13,12,1.3,5.0,0.3793106973171234
T1_13,13,2.0,5.0,0.41119447350502014
T1_13,14,2.8,5.0,0.3681110143661499
T1_14,1,0.015,5.0,0.16093575954437256
T1_14,2,0.022,5.0,0.1654813140630722
T1_14,3,0.032,5.0,0.22690026462078094
T1_14,4,0.045,5.0,0.2019789218902588
T1_14,5,0.065,5.0,0.24610140919685364
T1_14,6,0.1,5.0,0.38006481528282166
T1_14,7,0.15,5.0,0.27430489659309387
T1_14,8,0.22,5.0,0.31894928216934204
T1_14,9,0.35,5.0,0.3644794523715973
T1_14,10,0.55,5.0,0.3105854392051697
T1_14,11,0.85,5.0,0.3089923858642578
T1_14,12,1.3,5.0,0.3196171522140503
T1_14,13,2.0,5.0,0.34010815620422363
T1_14,14,2.8,5.0,0.28582680225372314
