label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,-0.03677217662334442
T1_1,2,0.022,5.0,0.12211908400058746
T1_1,3,0.032,5.0,0.6343358755111694
T1_1,4,0.045,5.0,0.6300294995307922
T1_1,5,0.065,5.0,0.8399133682250977
T1_1,6,0.1,5.0,0.18007345497608185
T1_1,7,0.15,5.0,0.004017263650894165
T1_1,8,0.22,5.0,0.6168874502182007
T1_1,9,0.35,5.0,-0.40634098649024963
T1_1,10,0.55,5.0,0.3124344050884247
T1_1,11,0.85,5.0,-0.5343490839004517
T1_1,12,1.3,5.0,-0.696395754814148
T1_1,13,2.0,5.0,-0.6049644351005554
T1_1,14,2.8,5.0,-0.6715718507766724
T1_2,1,0.015,5.0,-0.07053633034229279
T1_2,2,0.022,5.0,0.06074406951665878
T1_2,3,0.032,5.0,0.8971344232559204
T1_2,4,0.045,5.0,0.8980617523193359
T1_2,5,0.065,5.0,0.9361203908920288
T1_2,6,0.1,5.0,0.46254676580429077
T1_2,7,0.15,5.0,-0.19692233204841614
T1_2,8,0.22,5.0,0.5824235081672668
T1_2,9,0.35,5.0,-0.16354244947433472
T1_2,10,0.55,5.0,0.2820371091365814
T1_2,11,0.85,5.0,-0.6568273901939392
T1_2,12,1.3,5.0,-0.6582422256469727
T1_2,13,2.0,5.0,-0.8271090984344482
T1_2,14,2.8,5.0,-0.9286994338035583
T1_3,1,0.015,5.0,0.2675360441207886
T1_3,2,0.022,5.0,0.46458300948143005
T1_3,3,0.032,5.0,0.7924626469612122
T1_3,4,0.045,5.0,0.9233485460281372
T1_3,5,0.065,5.0,0.816398024559021
T1_3,6,0.1,5.0,0.4421657919883728
T1_3,7,0.15,5.0,0.027132390066981316
T1_3,8,0.22,5.0,0.5706682801246643
T1_3,9,0.35,5.0,-0.11541841924190521
T1_3,10,0.55,5.0,0.06194782629609108
T1_3,11,0.85,5.0,-0.5416706204414368
T1_3,12,1.3,5.0,-0.7385163307189941
T1_3,13,2.0,5.0,-0.8703486919403076
T1_3,14,2.8,5.0,-0.7144556045532227
