label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.879,0.5101228446155127,0.20327968813081093,72.851365374374,0.065,0.0
T1_2,1.432,0.5401266761514565,0.20199901778488744,62.28165669333404,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.5463359738989094,0.11320210415973672,46.80272892902536,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.4012612159951085,0.05719975763473209,46.591079995326965,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.4200334411497972,0.06750350514464937,20.297259743871507,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.1887086938837323,0.05466243910472057,50.8699052632824,-0.065,7.960204194457795e-18
T1_7,0.2723,0.16452119620554642,0.049617159355826855,39.58090480883348,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.14508281689965058,0.02091930027001486,25.407292082441863,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.08976784581524516,0.005679551301033134,34.85642538806592,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.08381770750968853,0.013876202890768394,11.49133314710821,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.0368057334863363,0.014011286275990456,45.066069423378664,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.025530658105902895,0.006414318992148839,46.96581199438535,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.013771992700061988,0.00527336617382007,59.906862590794795,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.021021858346932078,0.007349422754118723,12.988996908393721,0.019798989873223326,-0.019798989873223333
