label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,71.58792114257812
T1_1,2,0.022,5.0,86.4008560180664
T1_1,3,0.032,5.0,68.13151550292969
T1_1,4,0.045,5.0,33.11140441894531
T1_1,5,0.065,5.0,9.990641593933105
T1_1,6,0.1,5.0,83.99919128417969
T1_1,7,0.15,5.0,67.32691192626953
T1_1,8,0.22,5.0,9.547284126281738
T1_1,9,0.35,5.0,56.05250930786133
T1_1,10,0.55,5.0,3.1064250469207764
T1_1,11,0.85,5.0,24.102449417114258
T1_1,12,1.3,5.0,21.391300201416016
T1_1,13,2.0,5.0,13.849726676940918
T1_1,14,2.8,5.0,4.1412787437438965
T1_2,1,0.015,5.0,16.121334075927734
T1_2,2,0.022,5.0,14.450982093811035
T1_2,3,0.032,5.0,4.005561828613281
T1_2,4,0.045,5.0,8.754624366760254
T1_2,5,0.065,5.0,6.6517653465271
T1_2,6,0.1,5.0,3.6949117183685303
T1_2,7,0.15,5.0,16.701173782348633
T1_2,8,0.22,5.0,6.269662857055664
T1_2,9,0.35,5.0,6.843204498291016
T1_2,10,0.55,5.0,6.627450466156006
T1_2,11,0.85,5.0,11.425763130187988
T1_2,12,1.3,5.0,10.067434310913086
T1_2,13,2.0,5.0,6.3429365158081055
T1_2,14,2.8,5.0,15.669878959655762
T1_3,1,0.015,5.0,11.468400001525879
T1_3,2,0.022,5.0,6.961117267608643
T1_3,3,0.032,5.0,0.5204563140869141
T1_3,4,0.045,5.0,8.219549179077148
T1_3,5,0.065,5.0,5.8270487785339355
T1_3,6,0.1,5.0,7.980285167694092
T1_3,7,0.15,5.0,11.551653861999512
T1_3,8,0.22,5.0,6.653770923614502
T1_3,9,0.35,5.0,13.844616889953613
T1_3,10,0.55,5.0,8.144615173339844
T1_3,11,0.85,5.0,12.266502380371094
T1_3,12,1.3,5.0,13.061067581176758
T1_3,13,2.0,5.0,9.029304504394531
T1_3,14,2.8,5.0,18.8750057220459
T1_4,1,0.015,5.0,1.802659034729004
T1_4,2,0.022,5.0,16.83464813232422
T1_4,3,0.032,5.0,2.247328519821167
T1_4,4,0.045,5.0,3.9506332874298096
T1_4,5,0.065,5.0,1.9566521644592285
T1_4,6,0.1,5.0,1.1858123540878296
T1_4,7,0.15,5.0,10.509503364562988
T1_4,8,0.22,5.0,2.4087750911712646
T1_4,9,0.35,5.0,10.650229454040527
T1_4,10,0.55,5.0,1.265220046043396
T1_4,11,0.85,5.0,13.164913177490234
T1_4,12,1.3,5.0,7.265789031982422
T1_4,13,2.0,5.0,13.053056716918945
T1_4,14,2.8,5.0,24.707366943359375
T1_5,1,0.015,5.0,6.727241516113281
T1_5,2,0.022,5.0,13.729209899902344
T1_5,3,0.032,5.0,5.767389297485352
T1_5,4,0.045,5.0,10.824166297912598
T1_5,5,0.065,5.0,8.226043701171875
T1_5,6,0.1,5.0,8.625210762023926
T1_5,7,0.15,5.0,15.891510963439941
T1_5,8,0.22,5.0,3.576773166656494
T1_5,9,0.35,5.0,10.505187034606934
T1_5,10,0.55,5.0,6.661404609680176
T1_5,11,0.85,5.0,15.42959213256836
T1_5,12,1.3,5.0,12.830292701721191
T1_5,13,2.0,5.0,10.043852806091309
T1_5,14,2.8,5.0,17.189905166625977
T1_6,1,0.015,5.0,73.6895980834961
T1_6,2,0.022,5.0,89.2022476196289
T1_6,3,0.032,5.0,66.39178466796875
T1_6,4,0.045,5.0,29.493267059326172
T1_6,5,0.065,5.0,10.37448501586914
T1_6,6,0.1,5.0,71.51910400390625
T1_6,7,0.15,5.0,59.79631042480469
T1_6,8,0.22,5.0,5.642162322998047
T1_6,9,0.35,5.0,29.714218139648438
T1_6,10,0.55,5.0,8.653911590576172
T1_6,11,0.85,5.0,10.977532386779785
T1_6,12,1.3,5.0,15.01298713684082
T1_6,13,2.0,5.0,12.994787216186523
T1_6,14,2.8,5.0,9.46971321105957
T1_7,1,0.015,5.0,16.582548141479492
T1_7,2,0.022,5.0,14.049708366394043
T1_7,3,0.032,5.0,7.864075183868408
T1_7,4,0.045,5.0,6.676586151123047
T1_7,5,0.065,5.0,6.517507076263428
T1_7,6,0.1,5.0,2.46824049949646
T1_7,7,0.15,5.0,14.184622764587402
T1_7,8,0.22,5.0,0.9190261363983154
T1_7,9,0.35,5.0,9.79727840423584
T1_7,10,0.55,5.0,5.5248541831970215
T1_7,11,0.85,5.0,12.48564624786377
T1_7,12,1.3,5.0,7.268616199493408
T1_7,13,2.0,5.0,5.9820051193237305
T1_7,14,2.8,5.0,19.37449836730957
T1_8,1,0.015,5.0,10.395234107971191
T1_8,2,0.022,5.0,7.547290325164795
T1_8,3,0.032,5.0,2.827941656112671
T1_8,4,0.045,5.0,0.43466439843177795
T1_8,5,0.065,5.0,2.280961036682129
T1_8,6,0.1,5.0,5.307554244995117
T1_8,7,0.15,5.0,10.08582878112793
T1_8,8,0.22,5.0,2.0571253299713135
T1_8,9,0.35,5.0,4.064609050750732
T1_8,10,0.55,5.0,8.247316360473633
T1_8,11,0.85,5.0,3.0750880241394043
T1_8,12,1.3,5.0,12.58755111694336
T1_8,13,2.0,5.0,7.934162616729736
T1_8,14,2.8,5.0,20.722658157348633
T1_9,1,0.015,5.0,2.8503620624542236
T1_9,2,0.022,5.0,15.898749351501465
T1_9,3,0.032,5.0,3.0039258003234863
T1_9,4,0.045,5.0,1.1488423347473145
T1_9,5,0.065,5.0,5.230687618255615
T1_9,6,0.1,5.0,1.4252725839614868
T1_9,7,0.15,5.0,9.964855194091797
T1_9,8,0.22,5.0,8.724608421325684
T1_9,9,0.35,5.0,10.608892440795898
T1_9,10,0.55,5.0,12.304178237915039
T1_9,11,0.85,5.0,11.833200454711914
T1_9,12,1.3,5.0,8.56984806060791
T1_9,13,2.0,5.0,13.119370460510254
T1_9,14,2.8,5.0,22.50837516784668
T1_10,1,0.015,5.0,4.744246959686279
T1_10,2,0.022,5.0,13.246345520019531
T1_10,3,0.032,5.0,7.275012969970703
T1_10,4,0.045,5.0,7.788993835449219
T1_10,5,0.065,5.0,8.940934181213379
T1_10,6,0.1,5.0,6.049162864685059
T1_10,7,0.15,5.0,13.443204879760742
T1_10,8,0.22,5.0,4.6586713790893555
T1_10,9,0.35,5.0,9.840344429016113
T1_10,10,0.55,5.0,8.538047790527344
T1_10,11,0.85,5.0,12.878633499145508
T1_10,12,1.3,5.0,9.195438385009766
T1_10,13,2.0,5.0,6.644249439239502
T1_10,14,2.8,5.0,14.231264114379883
T1_11,1,0.015,5.0,22.84929847717285
T1_11,2,0.022,5.0,33.65437698364258
T1_11,3,0.032,5.0,8.226118087768555
T1_11,4,0.045,5.0,7.046669006347656
T1_11,5,0.065,5.0,6.729582786560059
T1_11,6,0.1,5.0,7.4786272048950195
T1_11,7,0.15,5.0,6.437694072723389
T1_11,8,0.22,5.0,7.910109519958496
T1_11,9,0.35,5.0,5.584784507751465
T1_11,10,0.55,5.0,11.942632675170898
T1_11,11,0.85,5.0,5.900949001312256
T1_11,12,1.3,5.0,18.26009750366211
T1_11,13,2.0,5.0,9.938630104064941
T1_11,14,2.8,5.0,11.469258308410645
T1_12,1,0.015,5.0,21.23552131652832
T1_12,2,0.022,5.0,29.78415870666504
T1_12,3,0.032,5.0,1.1627322435379028
T1_12,4,0.045,5.0,8.161429405212402
T1_12,5,0.065,5.0,1.0843433141708374
T1_12,6,0.1,5.0,5.216680526733398
T1_12,7,0.15,5.0,12.27590560913086
T1_12,8,0.22,5.0,3.9071338176727295
T1_12,9,0.35,5.0,6.628579616546631
T1_12,10,0.55,5.0,12.160304069519043
T1_12,11,0.85,5.0,10.480902671813965
T1_12,12,1.3,5.0,13.439591407775879
T1_12,13,2.0,5.0,11.15319538116455
T1_12,14,2.8,5.0,18.780431747436523
T1_13,1,0.015,5.0,27.823415756225586
T1_13,2,0.022,5.0,39.136627197265625
T1_13,3,0.032,5.0,9.226583480834961
T1_13,4,0.045,5.0,10.762901306152344
T1_13,5,0.065,5.0,5.374960899353027
T1_13,6,0.1,5.0,8.352266311645508
T1_13,7,0.15,5.0,11.824869155883789
T1_13,8,0.22,5.0,8.075037956237793
T1_13,9,0.35,5.0,15.006153106689453
