label,block,TI_s,TR_s,mag
T1_1,1,0.015,5.0,97.70045471191406
T1_1,2,0.022,5.0,82.2310791015625
T1_1,3,0.032,5.0,74.96412658691406
T1_1,4,0.045,5.0,78.47881317138672
T1_1,5,0.065,5.0,80.94664001464844
T1_1,6,0.1,5.0,75.17996215820312
T1_1,7,0.15,5.0,69.7467041015625
T1_1,8,0.22,5.0,55.8862419128418
T1_1,9,0.35,5.0,77.88296508789062
T1_1,10,0.55,5.0,26.39061164855957
T1_1,11,0.85,5.0,49.18501663208008
T1_1,12,1.3,5.0,41.618385314941406
T1_1,13,2.0,5.0,46.70955276489258
T1_1,14,2.8,5.0,62.5035285949707
T1_2,1,0.015,5.0,89.4600601196289
T1_2,2,0.022,5.0,82.2805404663086
T1_2,3,0.032,5.0,80.62613677978516
T1_2,4,0.045,5.0,90.43989562988281
T1_2,5,0.065,5.0,92.20659637451172
T1_2,6,0.1,5.0,80.1670913696289
T1_2,7,0.15,5.0,69.31716918945312
T1_2,8,0.22,5.0,56.55780792236328
T1_2,9,0.35,5.0,72.11347961425781
T1_2,10,0.55,5.0,44.300445556640625
T1_2,11,0.85,5.0,36.23635482788086
T1_2,12,1.3,5.0,38.563194274902344
T1_2,13,2.0,5.0,35.56389617919922
T1_2,14,2.8,5.0,66.66085815429688
T1_3,1,0.015,5.0,117.61152648925781
T1_3,2,0.022,5.0,87.2258071899414
T1_3,3,0.032,5.0,75.81925201416016
T1_3,4,0.045,5.0,69.20675659179688
T1_3,5,0.065,5.0,54.567466735839844
T1_3,6,0.1,5.0,81.54107666015625
T1_3,7,0.15,5.0,80.44220733642578
T1_3,8,0.22,5.0,35.78791809082031
T1_3,9,0.35,5.0,90.83438873291016
T1_3,10,0.55,5.0,19.395822525024414
T1_3,11,0.85,5.0,58.31334686279297
T1_3,12,1.3,5.0,55.08708953857422
T1_3,13,2.0,5.0,42.59929275512695
T1_3,14,2.8,5.0,68.99613952636719
T1_4,1,0.015,5.0,113.12525177001953
T1_4,2,0.022,5.0,83.40239715576172
T1_4,3,0.032,5.0,71.13954162597656
T1_4,4,0.045,5.0,60.906036376953125
T1_4,5,0.065,5.0,48.11502456665039
T1_4,6,0.1,5.0,75.67701721191406
T1_4,7,0.15,5.0,72.24139404296875
T1_4,8,0.22,5.0,27.6424560546875
T1_4,9,0.35,5.0,87.66889190673828
T1_4,10,0.55,5.0,29.71544075012207
T1_4,11,0.85,5.0,56.62449645996094
T1_4,12,1.3,5.0,63.22373962402344
T1_4,13,2.0,5.0,46.39250946044922
T1_4,14,2.8,5.0,72.52991485595703
T1_5,1,0.015,5.0,84.66539001464844
T1_5,2,0.022,5.0,79.52759552001953
T1_5,3,0.032,5.0,70.04190063476562
T1_5,4,0.045,5.0,83.74559020996094
T1_5,5,0.065,5.0,73.61671447753906
T1_5,6,0.1,5.0,56.68657684326172
T1_5,7,0.15,5.0,47.617576599121094
T1_5,8,0.22,5.0,26.317508697509766
T1_5,9,0.35,5.0,73.107177734375
T1_5,10,0.55,5.0,25.73848533630371
T1_5,11,0.85,5.0,64.93098449707031
T1_5,12,1.3,5.0,62.90089797973633
T1_5,13,2.0,5.0,90.41496276855469
T1_5,14,2.8,5.0,110.29190063476562
T1_6,1,0.015,5.0,96.03929901123047
T1_6,2,0.022,5.0,84.87919616699219
T1_6,3,0.032,5.0,58.78508758544922
T1_6,4,0.045,5.0,66.08045959472656
T1_6,5,0.065,5.0,53.261436462402344
T1_6,6,0.1,5.0,50.851985931396484
T1_6,7,0.15,5.0,38.788185119628906
T1_6,8,0.22,5.0,8.913518905639648
T1_6,9,0.35,5.0,56.26543426513672
T1_6,10,0.55,5.0,26.468128204345703
T1_6,11,0.85,5.0,50.9490966796875
T1_6,12,1.3,5.0,48.7982292175293
T1_6,13,2.0,5.0,56.98712921142578
T1_6,14,2.8,5.0,82.19445037841797
T1_7,1,0.015,5.0,92.86390686035156
T1_7,2,0.022,5.0,69.17451477050781
T1_7,3,0.032,5.0,51.82914352416992
T1_7,4,0.045,5.0,40.30397033691406
T1_7,5,0.065,5.0,20.342744827270508
T1_7,6,0.1,5.0,38.50215148925781
T1_7,7,0.15,5.0,19.298280715942383
T1_7,8,0.22,5.0,7.342327117919922
T1_7,9,0.35,5.0,48.63978958129883
T1_7,10,0.55,5.0,23.788982391357422
T1_7,11,0.85,5.0,37.31343460083008
T1_7,12,1.3,5.0,29.843557357788086
T1_7,13,2.0,5.0,39.42194366455078
T1_7,14,2.8,5.0,75.85968017578125
T1_8,1,0.015,5.0,87.23783874511719
T1_8,2,0.022,5.0,68.3961181640625
T1_8,3,0.032,5.0,50.921875
T1_8,4,0.045,5.0,61.464088439941406
T1_8,5,0.065,5.0,36.636085510253906
T1_8,6,0.1,5.0,14.659838676452637
T1_8,7,0.15,5.0,28.120519638061523
T1_8,8,0.22,5.0,20.746931076049805
T1_8,9,0.35,5.0,99.63815307617188
T1_8,10,0.55,5.0,54.861568450927734
T1_8,11,0.85,5.0,88.21578979492188
T1_8,12,1.3,5.0,52.258575439453125
T1_8,13,2.0,5.0,53.69941711425781
T1_8,14,2.8,5.0,97.32429504394531
T1_9,1,0.015,5.0,74.61862182617188
T1_9,2,0.022,5.0,56.14825439453125
T1_9,3,0.032,5.0,38.83024597167969
T1_9,4,0.045,5.0,45.416927337646484
T1_9,5,0.065,5.0,25.004650115966797
T1_9,6,0.1,5.0,32.08879852294922
T1_9,7,0.15,5.0,43.977020263671875
T1_9,8,0.22,5.0,39.587928771972656
T1_9,9,0.35,5.0,108.9075927734375
T1_9,10,0.55,5.0,63.0088996887207
T1_9,11,0.85,5.0,89.35982513427734
T1_9,12,1.3,5.0,53.68883514404297
T1_9,13,2.0,5.0,52.79082489013672
T1_9,14,2.8,5.0,94.97441101074219
T1_10,1,0.015,5.0,66.29285430908203
T1_10,2,0.022,5.0,39.62751007080078
T1_10,3,0.032,5.0,31.673551559448242
T1_10,4,0.045,5.0,7.427049160003662
T1_10,5,0.065,5.0,18.937631607055664
T1_10,6,0.1,5.0,38.6461181640625
T1_10,7,0.15,5.0,44.333187103271484
T1_10,8,0.22,5.0,42.6448860168457
T1_10,9,0.35,5.0,79.03596496582031
T1_10,10,0.55,5.0,42.93964385986328
T1_10,11,0.85,5.0,49.834014892578125
T1_10,12,1.3,5.0,49.51906967163086
T1_10,13,2.0,5.0,23.9848575592041
T1_10,14,2.8,5.0,54.23356246948242
T1_11,1,0.015,5.0,66.32926940917969
T1_11,2,0.022,5.0,44.2202033996582
T1_11,3,0.032,5.0,29.724029541015625
T1_11,4,0.045,5.0,6.322661876678467
T1_11,5,0.065,5.0,1.8061001300811768
T1_11,6,0.1,5.0,45.88861846923828
T1_11,7,0.15,5.0,44.5907096862793
T1_11,8,0.22,5.0,74.74713897705078
T1_11,9,0.35,5.0,79.373779296875
T1_11,10,0.55,5.0,51.38129425048828
T1_11,11,0.85,5.0,44.55422592163086
T1_11,12,1.3,5.0,38.99177169799805
T1_11,13,2.0,5.0,56.50109100341797
T1_11,14,2.8,5.0,86.33512878417969
T1_12,1,0.015,5.0,55.2116813659668
T1_12,2,0.022,5.0,30.158735275268555
T1_12,3,0.032,5.0,18.286670684814453
T1_12,4,0.045,5.0,19.59341049194336
T1_12,5,0.065,5.0,17.811532974243164
T1_12,6,0.1,5.0,50.00141525268555
T1_12,7,0.15,5.0,42.355709075927734
T1_12,8,0.22,5.0,67.48957824707031
T1_12,9,0.35,5.0,67.67321014404297
T1_12,10,0.55,5.0,46.767662048339844
T1_12,11,0.85,5.0,27.530155181884766
T1_12,12,1.3,5.0,33.95762252807617
T1_12,13,2.0,5.0,50.220882415771484
T1_12,14,2.8,5.0,78.51493072509766
T1_13,1,0.015,5.0,63.28691101074219
T1_13,2,0.022,5.0,9.382944107055664
T1_13,3,0.032,5.0,6.524001598358154
T1_13,4,0.045,5.0,11.189784049987793
T1_13,5,0.065,5.0,36.47258377075195
T1_13,6,0.1,5.0,43.23493194580078
T1_13,7,0.15,5.0,71.92430114746094
T1_13,8,0.22,5.0,31.231224060058594
T1_13,9,0.35,5.0,58.87721252441406
T1_13,10,0.55,5.0,42.364315032958984
T1_13,11,0.85,5.0,23.330612182617188
T1_13,12,1.3,5.0,52.59840393066406
T1_13,13,2.0,5.0,33.61875915527344
T1_13,14,2.8,5.0,64.88249969482422
T1_14,1,0.015,5.0,52.23463821411133
T1_14,2,0.022,5.0,8.206724166870117
T1_14,3,0.032,5.0,3.354401111602783
T1_14,4,0.045,5.0,17.41885757446289
T1_14,5,0.065,5.0,31.934877395629883
T1_14,6,0.1,5.0,41.425045013427734
T1_14,7,0.15,5.0,65.01890563964844
T1_14,8,0.22,5.0,26.891138076782227
T1_14,9,0.35,5.0,58.25284194946289
T1_14,10,0.55,5.0,44.87446975708008
T1_14,11,0.85,5.0,23.035594940185547
T1_14,12,1.3,5.0,54.12908172607422
T1_14,13,2.0,5.0,25.241228103637695
T1_14,14,2.8,5.0,56.00118637084961
